2016,2,12,17,7
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
23647.0,1,50,1,0.1,0,2,1087,7034,8122,830,7292,10
26407.0,2,50,1,0.1,0,2,2675,7927,10603,830,9773,18
27649.0,3,50,1,0.1,1,2,515,8678,9193,830,8363,27
28627.0,4,50,1,0.1,1,2,503,9520,10023,830,9193,35
29707.0,5,50,1,0.1,1,2,445,10305,10751,830,9921,43
30828.0,6,50,1,0.1,1,2,462,10977,11439,830,10609,50
32349.0,7,50,1,0.1,1,2,556,11845,12401,830,11571,57
33826.0,8,50,1,0.1,1,2,484,12698,13183,830,12353,63
35146.0,9,50,1,0.1,1,2,489,13739,14229,830,13399,69
35989.0,10,50,1,0.1,1,2,491,14778,15270,830,14440,74
37029.0,11,50,1,0.1,1,2,575,15520,16095,830,15265,79
38029.0,12,50,1,0.1,1,2,507,16502,17010,830,16180,84
39658.0,13,50,1,0.1,1,2,824,18226,19050,830,18220,88
40817.0,14,50,1,0.1,1,2,580,19477,20058,830,19228,93
50256.0,15,50,1,0.1,0,1,17542,20852,38394,830,37564,95
52677.0,16,50,1,0.1,0,2,1734,21668,23403,830,22573,98
53660.0,17,50,1,0.1,1,2,434,22446,22880,830,22050,102
54537.0,18,50,1,0.1,1,2,498,23107,23606,830,22776,105
55857.0,19,50,1,0.1,1,2,487,24118,24605,830,23775,109
56777.0,20,50,1,0.1,1,2,444,25060,25504,830,24674,112
58478.0,21,50,1,0.1,1,2,547,25826,26374,830,25544,115
60038.0,22,50,1,0.1,1,2,961,26419,27380,830,26550,118
61860.0,23,50,1,0.1,1,2,515,27286,27802,830,26972,121
62819.0,24,50,1,0.1,1,2,507,27922,28430,830,27600,124
63718.0,25,50,1,0.1,1,2,505,28617,29123,830,28293,127
64639.0,26,50,1,0.1,1,2,502,29328,29830,830,29000,130
66006.0,27,50,1,0.1,1,2,1057,29842,30899,830,30069,132
67468.0,28,50,1,0.1,1,2,476,30537,31013,830,30183,135
70580.0,29,50,1,0.1,0,1,1490,31579,33070,830,32240,138
72420.0,30,50,1,0.1,0,2,2318,32062,34380,830,33550,140
73240.0,31,50,1,0.1,1,2,544,32671,33216,830,32386,143
75202.0,32,50,1,0.1,0,2,1452,33470,34923,830,34093,145
78260.0,33,50,1,0.1,0,1,1955,34838,36793,830,35963,147
79921.0,34,50,1,0.1,0,2,1905,35606,37511,830,36681,149
81182.0,35,50,1,0.1,1,2,981,36140,37121,830,36291,152
82200.0,36,50,1,0.1,1,2,628,36706,37335,830,36505,154
83382.0,37,50,1,0.1,1,2,606,37454,38060,830,37230,156
85063.0,38,50,1,0.1,0,2,1130,38212,39342,830,38512,158
86721.0,39,50,1,0.1,0,1,1339,38905,40245,830,39415,160
87962.0,40,50,1,0.1,1,2,468,39538,40006,830,39176,162
89100.0,41,50,1,0.1,1,2,452,40354,40806,830,39976,164
90543.0,42,50,1,0.1,1,2,443,40934,41377,830,40547,166
91742.0,43,50,1,0.1,1,2,483,41554,42038,830,41208,168
92821.0,44,50,1,0.1,1,2,458,42248,42706,830,41876,170
94341.0,45,50,1,0.1,1,2,548,43031,43580,830,42750,172
95961.0,46,50,1,0.1,1,2,692,43724,44417,830,43587,174
97082.0,47,50,1,0.1,1,2,471,44326,44798,830,43968,176
98241.0,48,50,1,0.1,1,2,715,44901,45617,830,44787,178
99882.0,49,50,1,0.1,1,2,552,45680,46233,830,45403,180
102305.0,50,50,1,0.1,1,2,520,47314,47835,830,47005,181
104742.0,51,50,1,0.9,0,1,1180,48115,49295,830,48465,183
105703.0,52,50,1,0.9,1,1,474,49072,49547,830,48717,185
107184.0,53,50,1,0.9,1,1,470,49880,50350,830,49520,186
108803.0,54,50,1,0.9,1,1,853,50960,51814,830,50984,188
110223.0,55,50,1,0.9,1,1,468,51708,52177,830,51347,189
111464.0,56,50,1,0.9,1,1,444,52550,52995,830,52165,191
112844.0,57,50,1,0.9,1,1,489,53262,53752,830,52922,193
113863.0,58,50,1,0.9,1,1,461,54131,54592,830,53762,194
115466.0,59,50,1,0.9,1,1,886,54749,55636,830,54806,196
116583.0,60,50,1,0.9,1,1,469,55585,56054,830,55224,197
117984.0,61,50,1,0.9,1,1,514,56588,57102,830,56272,199
120664.0,62,50,1,0.9,0,2,1955,57372,59327,830,58497,200
134529.0,63,50,1,0.9,0,1,4618,58918,63537,830,62707,201
136291.0,64,50,1,0.9,1,1,1014,60589,61603,830,60773,203
137753.0,65,50,1,0.9,1,1,1253,61190,62443,830,61613,204
138931.0,66,50,1,0.9,1,1,1086,62039,63126,830,62296,205
140131.0,67,50,1,0.9,1,1,578,63145,63723,830,62893,207
141711.0,68,50,1,0.9,1,1,1031,63810,64841,830,64011,208
142953.0,69,50,1,0.9,1,1,571,64780,65351,830,64521,209
145174.0,70,50,1,0.9,0,2,2554,65497,68051,830,67221,210
147253.0,71,50,1,0.9,0,1,1712,66532,68245,830,67415,212
148473.0,72,50,1,0.9,1,1,491,67492,67983,830,67153,213
151331.0,73,50,1,0.9,1,1,1012,71959,72972,830,72142,214
153574.0,74,50,1,0.9,0,1,2521,73258,75780,830,74950,215
