2015,12,1,15,3
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
12916.0,1,50,2,0.75,1,1,229,374,604,395,208,65
15133.0,2,50,2,0.75,0,2,929,1024,1954,724,1230,102
21595.0,3,50,2,0.75,1,2,826,1963,2789,724,2064,128
23114.0,4,50,2,0.75,1,2,451,2506,2957,724,2232,153
25458.0,5,50,2,0.75,0,1,1586,3266,4852,395,4457,161
26595.0,6,50,2,0.75,1,1,232,3977,4210,395,3814,170
27556.0,7,50,2,0.75,1,1,256,4294,4551,395,4155,179
28455.0,8,50,2,0.75,1,1,228,4558,4787,395,4391,187
29075.0,9,50,2,0.75,1,1,225,4856,5082,395,4686,195
31074.0,10,50,2,0.75,0,2,721,5398,6119,724,5395,207
32856.0,11,50,2,0.75,0,1,1137,5834,6972,395,6576,212
34236.0,12,50,2,0.75,0,2,737,6406,7144,724,6419,222
35716.0,13,50,2,0.75,0,1,1310,6883,8194,395,7798,227
37298.0,14,50,2,0.75,0,2,1370,7566,8936,724,8211,235
38657.0,15,50,2,0.75,0,1,1234,7985,9220,395,8824,240
39737.0,16,50,2,0.75,1,1,290,8394,8684,395,8288,244
41938.0,17,50,2,0.75,0,2,1028,8945,9973,724,9249,252
42920.0,18,50,2,0.75,1,1,258,9379,9638,395,9242,256
43940.0,19,50,2,0.75,1,1,261,9968,10230,395,9834,259
45058.0,20,50,2,0.75,1,1,235,10561,10796,395,10400,263
45941.0,21,50,2,0.75,1,1,344,11209,11554,395,11158,267
47879.0,22,50,2,0.75,1,1,389,12365,12754,395,12359,270
48658.0,23,50,2,0.75,1,1,249,12790,13039,395,12644,273
49418.0,24,50,2,0.75,1,1,269,13352,13621,395,13225,276
50418.0,25,50,2,0.75,1,1,482,13816,14299,395,13903,278
51019.0,26,50,2,0.75,1,1,272,14314,14587,395,14191,281
52018.0,27,50,2,0.75,1,1,289,15080,15370,395,14974,284
53599.0,28,50,2,0.75,1,1,309,15694,16003,395,15607,286
54658.0,29,50,2,0.75,1,1,249,16124,16374,395,15978,289
55820.0,30,50,2,0.75,1,1,245,16555,16801,395,16405,291
56840.0,31,50,2,0.75,1,1,264,16962,17226,395,16831,293
57721.0,32,50,2,0.75,1,1,270,17383,17653,395,17257,295
58580.0,33,50,2,0.75,1,1,336,17882,18218,395,17822,298
60021.0,34,50,2,0.75,1,1,594,18271,18865,395,18469,300
61001.0,35,50,2,0.75,1,1,282,18839,19121,395,18726,302
62982.0,36,50,2,0.75,0,2,1163,19333,20496,724,19772,305
64602.0,37,50,2,0.75,1,1,520,19969,20490,395,20094,307
66844.0,38,50,2,0.75,0,2,991,20513,21504,724,20780,311
68104.0,39,50,2,0.75,1,1,247,21210,21458,395,21062,312
69362.0,40,50,2,0.75,1,1,502,21601,22104,395,21708,314
70683.0,41,50,2,0.75,1,1,254,22248,22502,395,22106,316
71804.0,42,50,2,0.75,1,1,255,22871,23127,395,22731,318
74041.0,43,50,2,0.75,0,2,1104,23506,24611,724,23886,321
75344.0,44,50,2,0.75,1,1,279,24088,24368,395,23972,322
76361.0,45,50,2,0.75,1,1,277,24633,24911,395,24515,324
78265.0,46,50,2,0.75,0,2,1213,25148,26361,724,25637,327
80184.0,47,50,2,0.75,0,2,1151,25773,26924,724,26200,329
81244.0,48,50,2,0.75,1,1,280,26421,26701,395,26306,331
82304.0,49,50,2,0.75,1,1,348,27068,27416,395,27020,332
84883.0,50,50,2,0.75,1,1,702,28354,29056,395,28661,334
87724.0,51,50,2,0.25,0,2,3217,28864,32081,724,31357,336
90203.0,52,50,2,0.25,0,2,2375,29964,32339,724,31614,338
91264.0,53,50,2,0.25,1,2,428,30776,31204,724,30480,340
92944.0,54,50,2,0.25,1,2,440,31322,31762,724,31038,343
94303.0,55,50,2,0.25,1,2,401,31862,32264,724,31539,345
95127.0,56,50,2,0.25,1,2,404,32386,32791,724,32067,347
96345.0,57,50,2,0.25,1,2,600,33133,33733,724,33009,349
97802.0,58,50,2,0.25,1,2,471,33612,34083,724,33359,351
98664.0,59,50,2,0.25,1,2,596,34121,34718,724,33993,354
100223.0,60,50,2,0.25,1,2,672,35053,35726,724,35002,356
102024.0,61,50,2,0.25,1,2,604,35641,36246,724,35522,358
103685.0,62,50,2,0.25,1,2,766,36267,37033,724,36309,360
104665.0,63,50,2,0.25,1,2,475,36847,37323,724,36598,361
105804.0,64,50,2,0.25,1,2,420,37402,37822,724,37098,363
107244.0,65,50,2,0.25,1,2,413,37944,38357,724,37633,365
108606.0,66,50,2,0.25,1,2,394,38440,38835,724,38111,367
110045.0,67,50,2,0.25,1,2,436,39047,39483,724,38759,369
111587.0,68,50,2,0.25,1,2,384,39672,40057,724,39332,371
112945.0,69,50,2,0.25,1,2,387,40351,40738,724,40013,373
115244.0,70,50,2,0.25,0,1,1340,40864,42204,395,41808,373
117624.0,71,50,2,0.25,0,1,1416,41491,42908,395,42512,374
119465.0,72,50,2,0.25,0,1,1371,41962,43334,395,42939,375
121647.0,73,50,2,0.25,0,2,1447,42478,43925,724,43201,377
122705.0,74,50,2,0.25,1,2,400,43129,43530,724,42805,379
124407.0,75,50,2,0.25,0,2,1209,43780,44990,724,44265,380
125526.0,76,50,2,0.25,1,2,511,44446,44958,724,44233,382
127051.0,77,50,2,0.25,1,2,439,45063,45502,724,44777,383
128172.0,78,50,2,0.25,1,2,388,45545,45934,724,45210,385
129372.0,79,50,2,0.25,1,2,433,46119,46553,724,45829,387
130432.0,80,50,2,0.25,1,2,435,46757,47193,724,46469,388
131513.0,81,50,2,0.25,1,2,420,47319,47739,724,47015,390
132812.0,82,50,2,0.25,1,2,397,48075,48473,724,47748,391
134192.0,83,50,2,0.25,1,2,437,48612,49050,724,48326,393
135894.0,84,50,2,0.25,1,2,421,49221,49642,724,48917,394
137013.0,85,50,2,0.25,1,2,396,49880,50276,724,49552,396
138632.0,86,50,2,0.25,1,2,451,50669,51121,724,50396,397
139913.0,87,50,2,0.25,1,2,416,51227,51643,724,50919,398
141336.0,88,50,2,0.25,1,2,426,51893,52319,724,51595,400
142693.0,89,50,2,0.25,1,2,402,52694,53096,724,52371,401
144656.0,90,50,2,0.25,0,1,1336,53368,54705,395,54309,402
145834.0,91,50,2,0.25,1,2,441,54152,54593,724,53869,403
147556.0,92,50,2,0.25,0,2,1312,54743,56056,724,55332,404
151954.0,93,50,2,0.25,0,1,3972,55557,59530,395,59134,405
153836.0,94,50,2,0.25,1,2,445,56205,56650,724,55925,406
156017.0,95,50,2,0.25,0,1,1326,56652,57978,395,57583,407
157614.0,96,50,2,0.25,1,2,662,57173,57836,724,57111,408
159714.0,97,50,2,0.25,1,2,641,57685,58327,724,57603,410
161715.0,98,50,2,0.25,0,1,1424,58251,59676,395,59280,410
162875.0,99,50,2,0.25,1,2,377,58810,59187,724,58463,411
163975.0,100,50,2,0.25,1,2,426,59584,60011,724,59286,413
165075.0,101,50,2,0.1,1,2,445,60297,60742,724,60018,414
165916.0,102,50,2,0.1,1,2,488,61112,61601,724,60877,415
166975.0,103,50,2,0.1,1,2,484,61699,62183,724,61458,416
168177.0,104,50,2,0.1,1,2,481,62404,62885,724,62161,417
169236.0,105,50,2,0.1,1,2,396,63002,63399,724,62674,418
170695.0,106,50,2,0.1,1,2,488,63722,64210,724,63486,420
171997.0,107,50,2,0.1,1,2,448,64273,64722,724,63997,421
173277.0,108,50,2,0.1,1,2,738,64792,65531,724,64806,422
175317.0,109,50,2,0.1,0,1,1490,65163,66654,395,66258,422
176418.0,110,50,2,0.1,1,2,445,65846,66291,724,65567,424
177557.0,111,50,2,0.1,1,2,404,66366,66770,724,66046,425
178657.0,112,50,2,0.1,1,2,377,66966,67344,724,66619,426
179936.0,113,50,2,0.1,1,2,394,67605,67999,724,67274,427
181699.0,114,50,2,0.1,1,2,497,68162,68660,724,67936,428
182797.0,115,50,2,0.1,1,2,403,68705,69109,724,68385,429
184139.0,116,50,2,0.1,1,2,390,69488,69879,724,69155,430
185341.0,117,50,2,0.1,1,2,432,70035,70468,724,69744,431
186418.0,118,50,2,0.1,1,2,405,70764,71169,724,70445,432
187485.0,119,50,2,0.1,1,2,429,71500,71929,724,71204,433
188722.0,120,50,2,0.1,1,2,387,72082,72469,724,71745,434
189921.0,121,50,2,0.1,1,2,413,72674,73088,724,72363,435
190702.0,122,50,2,0.1,1,2,446,73310,73757,724,73033,436
193865.0,123,50,2,0.1,0,2,2531,73885,76416,724,75692,437
195703.0,124,50,2,0.1,0,1,1521,74341,75862,395,75467,437
196983.0,125,50,2,0.1,1,2,446,74944,75390,724,74666,438
199704.0,126,50,2,0.1,0,1,1826,75390,77217,395,76821,439
201046.0,127,50,2,0.1,1,2,455,76106,76562,724,75837,440
202964.0,128,50,2,0.1,1,2,462,76806,77268,724,76544,441
204064.0,129,50,2,0.1,1,2,436,77536,77973,724,77248,442
205484.0,130,50,2,0.1,1,2,622,78051,78674,724,77949,443
206907.0,131,50,2,0.1,1,2,474,78770,79244,724,78520,443
208845.0,132,50,2,0.1,1,2,830,79508,80339,724,79614,444
210306.0,133,50,2,0.1,1,2,385,80147,80532,724,79807,445
211384.0,134,50,2,0.1,1,2,442,80829,81271,724,80547,446
213206.0,135,50,2,0.1,1,2,817,81397,82215,724,81490,447
214366.0,136,50,2,0.1,1,2,394,81934,82328,724,81604,448
215506.0,137,50,2,0.1,1,2,412,82442,82854,724,82130,449
218330.0,138,50,2,0.1,1,2,424,83888,84313,724,83589,450
221549.0,139,50,2,0.1,0,1,3031,84323,87354,395,86958,450
223050.0,140,50,2,0.1,1,2,397,84995,85392,724,84668,451
224190.0,141,50,2,0.1,1,2,408,85565,85974,724,85249,452
225309.0,142,50,2,0.1,1,2,413,86125,86539,724,85814,453
226430.0,143,50,2,0.1,1,2,453,86875,87328,724,86604,453
227611.0,144,50,2,0.1,1,2,459,87630,88090,724,87366,454
228670.0,145,50,2,0.1,1,2,428,88346,88774,724,88050,455
230090.0,146,50,2,0.1,1,2,440,89136,89576,724,88852,456
231151.0,147,50,2,0.1,1,2,439,89630,90070,724,89346,457
232471.0,148,50,2,0.1,1,2,546,90125,90672,724,89947,458
233551.0,149,50,2,0.1,1,2,461,90724,91185,724,90461,458
234591.0,150,50,2,0.1,1,2,408,91172,91581,724,90856,459
237351.0,151,50,2,0.9,0,1,1400,91664,93065,395,92669,460
239913.0,152,50,2,0.9,0,1,1353,92259,93613,395,93217,460
240972.0,153,50,2,0.9,1,1,221,92791,93012,395,92617,460
242054.0,154,50,2,0.9,1,1,260,93284,93545,395,93149,461
243273.0,155,50,2,0.9,1,1,264,93658,93922,395,93527,461
244352.0,156,50,2,0.9,1,1,282,94103,94385,395,93989,462
246294.0,157,50,2,0.9,1,1,251,94676,94928,395,94532,462
248741.0,158,50,2,0.9,0,2,1141,95218,96360,724,95635,463
251081.0,159,50,2,0.9,0,1,1178,95655,96833,395,96437,463
252423.0,160,50,2,0.9,1,1,288,96106,96394,395,95999,464
253562.0,161,50,2,0.9,1,1,286,96487,96773,395,96378,464
254844.0,162,50,2,0.9,1,1,251,96917,97168,395,96773,464
256223.0,163,50,2,0.9,1,1,237,97309,97547,395,97151,465
258384.0,164,50,2,0.9,1,1,314,97741,98056,395,97660,465
259885.0,165,50,2,0.9,1,1,243,98123,98366,395,97971,466
261622.0,166,50,2,0.9,1,1,806,98529,99336,395,98940,466
262703.0,167,50,2,0.9,1,1,258,98941,99199,395,98804,466
263923.0,168,50,2,0.9,1,1,253,99323,99577,395,99181,467
265264.0,169,50,2,0.9,1,1,249,99645,99895,395,99500,467
267905.0,170,50,2,0.9,1,1,245,99910,100155,395,99760,468
270244.0,171,50,2,0.9,1,1,222,100262,100484,395,100088,468
271603.0,172,50,2,0.9,1,1,227,100582,100809,395,100414,468
273466.0,173,50,2,0.9,1,1,241,100863,101105,395,100709,469
274565.0,174,50,2,0.9,1,1,239,101298,101537,395,101141,469
275965.0,175,50,2,0.9,1,1,266,101634,101901,395,101505,470
277095.0,176,50,2,0.9,1,1,221,102062,102283,395,101887,470
278595.0,177,50,2,0.9,1,1,224,102456,102681,395,102285,470
280016.0,178,50,2,0.9,1,1,254,102879,103133,395,102738,471
281673.0,179,50,2,0.9,1,1,226,103233,103459,395,103064,471
284536.0,180,50,2,0.9,0,2,1437,103952,105389,724,104665,472
287334.0,181,50,2,0.9,0,1,1421,104418,105839,395,105444,472
289237.0,182,50,2,0.9,0,1,1191,105038,106229,395,105833,473
290236.0,183,50,2,0.9,1,1,240,105435,105676,395,105280,473
291078.0,184,50,2,0.9,1,1,229,105910,106139,395,105744,473
292055.0,185,50,2,0.9,1,1,297,106481,106778,395,106383,474
293115.0,186,50,2,0.9,1,1,314,107071,107385,395,106989,474
294157.0,187,50,2,0.9,1,1,232,107596,107828,395,107433,474
295337.0,188,50,2,0.9,1,1,259,108021,108281,395,107885,475
296597.0,189,50,2,0.9,1,1,281,108559,108841,395,108445,475
297998.0,190,50,2,0.9,1,1,249,108950,109199,395,108804,476
299336.0,191,50,2,0.9,1,1,272,109579,109851,395,109455,476
300375.0,192,50,2,0.9,1,1,282,110176,110459,395,110063,476
301457.0,193,50,2,0.9,1,1,276,110607,110883,395,110488,477
302399.0,194,50,2,0.9,1,1,256,110958,111214,395,110818,477
303417.0,195,50,2,0.9,1,1,246,111460,111707,395,111311,477
304259.0,196,50,2,0.9,1,1,346,111923,112269,395,111874,478
305436.0,197,50,2,0.9,1,1,244,112212,112456,395,112061,478
307191.0,198,50,2,0.9,1,1,266,113117,113384,395,112988,478
308133.0,199,50,2,0.9,1,1,243,113445,113688,395,113293,479
310392.0,200,50,2,0.9,1,1,1936,115086,117022,395,116627,479
311673.0,201,50,2,0.5,1,1,307,115717,116024,395,115628,479
315711.0,202,50,2,0.5,0,2,2818,116701,119520,724,118795,480
317813.0,203,50,2,0.5,1,2,433,117418,117851,724,117127,481
319231.0,204,50,2,0.5,1,2,437,118391,118829,724,118105,481
320853.0,205,50,2,0.5,0,1,1276,118985,120261,395,119866,482
321931.0,206,50,2,0.5,1,1,283,119376,119659,395,119264,482
322914.0,207,50,2,0.5,1,1,278,119964,120243,395,119847,482
323732.0,208,50,2,0.5,1,1,269,120302,120572,395,120177,483
325652.0,209,50,2,0.5,0,2,1083,120921,122004,724,121280,483
326892.0,210,50,2,0.5,1,2,441,121545,121987,724,121263,484
327934.0,211,50,2,0.5,1,2,377,122061,122438,724,121714,484
329972.0,212,50,2,0.5,0,1,1634,122426,124060,395,123665,485
330953.0,213,50,2,0.5,1,1,259,122933,123192,395,122797,485
332433.0,214,50,2,0.5,1,1,326,123806,124133,395,123737,485
334273.0,215,50,2,0.5,0,2,1074,124527,125602,724,124878,486
335474.0,216,50,2,0.5,1,2,421,125089,125510,724,124786,486
337853.0,217,50,2,0.5,0,1,1841,125798,127639,395,127244,487
338970.0,218,50,2,0.5,1,1,268,126303,126572,395,126177,487
340690.0,219,50,2,0.5,1,1,559,127524,128083,395,127687,487
342970.0,220,50,2,0.5,0,1,1347,128199,129546,395,129150,488
344830.0,221,50,2,0.5,0,2,1259,128771,130031,724,129307,488
346694.0,222,50,2,0.5,0,1,1285,129324,130609,395,130214,489
347593.0,223,50,2,0.5,1,1,235,129827,130063,395,129667,489
349433.0,224,50,2,0.5,0,2,1115,130377,131493,724,130769,489
351471.0,225,50,2,0.5,0,1,1182,130980,132163,395,131767,490
352791.0,226,50,2,0.5,1,1,367,131842,132210,395,131814,490
354850.0,227,50,2,0.5,0,2,1362,132464,133826,724,133102,491
357533.0,228,50,2,0.5,0,1,1621,133309,134931,395,134535,491
358311.0,229,50,2,0.5,1,1,303,134003,134306,395,133910,491
359273.0,230,50,2,0.5,1,1,294,134827,135121,395,134725,491
361292.0,231,50,2,0.5,0,2,1295,135401,136697,724,135972,492
362432.0,232,50,2,0.5,1,2,409,135894,136304,724,135579,492
364412.0,233,50,2,0.5,0,1,1282,136455,137737,395,137342,493
366433.0,234,50,2,0.5,0,2,1560,136985,138546,724,137822,493
367826.0,235,50,2,0.5,1,2,531,137695,138226,724,137502,494
368730.0,236,50,2,0.5,1,2,463,138336,138800,724,138076,494
370727.0,237,50,2,0.5,0,1,1235,138812,140047,395,139652,495
371787.0,238,50,2,0.5,1,1,279,139465,139745,395,139349,495
373027.0,239,50,2,0.5,1,1,263,140014,140277,395,139881,495
373890.0,240,50,2,0.5,1,1,281,140493,140775,395,140379,495
374988.0,241,50,2,0.5,1,1,222,140986,141209,395,140813,496
377491.0,242,50,2,0.5,0,2,1166,141619,142785,724,142061,496
379670.0,243,50,2,0.5,1,2,558,142270,142828,724,142104,497
381348.0,244,50,2,0.5,1,2,399,143097,143496,724,142772,497
382388.0,245,50,2,0.5,1,2,388,143626,144014,724,143290,498
383787.0,246,50,2,0.5,1,2,526,144479,145006,724,144281,498
385908.0,247,50,2,0.5,0,1,1408,145019,146428,395,146033,499
387271.0,248,50,2,0.5,0,2,1259,145767,147027,724,146302,499
388689.0,249,50,2,0.5,1,2,542,146768,147310,724,146585,500
390091.0,250,50,2,0.5,1,2,406,147564,147971,724,147247,500
