2015,11,18,16,23
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
20588.0,1,25,2,0.25,1,1,214,335,549,395,154,71
22310.0,2,25,2,0.25,0,2,999,913,1912,724,1187,109
23590.0,3,25,2,0.25,1,2,467,1604,2072,724,1347,144
24590.0,4,25,2,0.25,1,2,417,2148,2565,724,1841,173
25692.0,5,25,2,0.25,1,2,408,2679,3087,724,2363,196
26894.0,6,25,2,0.25,1,2,424,3204,3629,724,2905,216
27950.0,7,25,2,0.25,1,2,437,3758,4195,724,3471,233
29952.0,8,25,2,0.25,0,1,1019,4609,5628,395,5233,240
31430.0,9,25,2,0.25,0,2,1011,5163,6174,724,5450,252
32252.0,10,25,2,0.25,1,2,426,5673,6100,724,5375,264
33457.0,11,25,2,0.25,1,2,500,6418,6919,724,6194,274
34818.0,12,25,2,0.25,1,2,454,6988,7443,724,6719,284
35817.0,13,25,2,0.25,1,2,380,7664,8044,724,7320,293
37977.0,14,25,2,0.25,0,1,1083,8069,9153,395,8757,297
40278.0,15,25,2,0.25,0,2,1198,8737,9936,724,9212,305
41197.0,16,25,2,0.25,1,2,398,9278,9676,724,8952,312
43238.0,17,25,2,0.25,0,1,1437,9785,11222,395,10827,316
45238.0,18,25,2,0.25,0,2,1210,10521,11732,724,11007,322
46758.0,19,25,2,0.25,1,2,449,11105,11554,724,10829,328
47839.0,20,25,2,0.25,1,2,463,11734,12198,724,11474,334
48998.0,21,25,2,0.25,1,2,431,12254,12686,724,11961,340
49879.0,22,25,2,0.25,1,2,434,12810,13245,724,12521,345
51119.0,23,25,2,0.25,1,2,531,13315,13847,724,13122,350
52738.0,24,25,2,0.25,1,2,403,13916,14319,724,13595,356
57880.0,25,25,2,0.25,0,1,1275,14317,15592,395,15196,358
58958.0,26,25,2,0.5,1,1,245,14854,15099,395,14704,361
60721.0,27,25,2,0.5,0,2,994,15356,16351,724,15626,365
62623.0,28,25,2,0.5,0,1,1346,15728,17075,395,16679,367
64760.0,29,25,2,0.5,0,2,1129,16525,17654,724,16930,372
66681.0,30,25,2,0.5,0,2,1019,17095,18115,724,17391,376
67760.0,31,25,2,0.5,1,2,393,17682,18075,724,17351,380
69182.0,32,25,2,0.5,1,2,475,18255,18731,724,18006,383
70460.0,33,25,2,0.5,1,2,405,18829,19234,724,18510,387
71424.0,34,25,2,0.5,1,2,377,19387,19764,724,19040,391
73743.0,35,25,2,0.5,0,1,1235,19650,20885,395,20490,393
74701.0,36,25,2,0.5,1,2,459,20297,20757,724,20033,396
75962.0,37,25,2,0.5,1,1,254,20715,20969,395,20574,398
77881.0,38,25,2,0.5,0,1,1297,21185,22482,395,22086,400
79942.0,39,25,2,0.5,0,2,1095,21851,22947,724,22223,403
81043.0,40,25,2,0.5,1,2,337,22334,22672,724,21947,406
82202.0,41,25,2,0.5,1,2,432,22877,23309,724,22585,409
83445.0,42,25,2,0.5,1,2,421,23444,23865,724,23140,412
85185.0,43,25,2,0.5,1,2,440,24031,24471,724,23747,415
87923.0,44,25,2,0.5,0,1,1330,24406,25736,395,25341,417
91025.0,45,25,2,0.5,0,1,1533,24978,26511,395,26115,418
92783.0,46,25,2,0.5,1,1,256,25518,25775,395,25379,420
95264.0,47,25,2,0.5,0,2,1205,26356,27561,724,26836,423
96366.0,48,25,2,0.5,1,1,228,26666,26895,395,26499,424
98744.0,49,25,2,0.5,0,1,1387,27107,28494,395,28099,425
99825.0,50,25,2,0.5,1,1,232,27584,27816,395,27421,427
101824.0,51,25,2,0.9,0,2,1099,28217,29316,724,28592,429
103864.0,52,25,2,0.9,0,1,1386,28569,29956,395,29560,431
