2016,8,8,16,19
timestamp, trialNum, blockWidth, reach, leftprob, subjpos, Rightorwrong, rpos, forageDist, totDist, optdist, diff, score
22361,1,50,2.0,0.9,1,1.0,1,944,1918,689,1228,6612
23400,2,50,2.0,0.9,1,1.0,1,926,1801,689,1112,8920
24064,3,50,2.0,0.9,1,1.0,1,835,1823,689,1133,10284
28026,4,50,2.0,0.9,2,0.0,1,4648,5783,689,5094,10284
28950,5,50,2.0,0.9,1,1.0,1,876,1858,689,1168,12166
29785,6,50,2.0,0.9,1,1.0,1,962,2052,689,1362,13677
30601,7,50,2.0,0.9,1,1.0,1,927,1834,689,1144,15139
31567,8,50,2.0,0.9,1,1.0,1,965,1859,689,1169,17051
33169,9,50,2.0,0.9,1,1.0,1,928,1898,689,1208,20240
34900,10,50,2.0,0.9,1,1.0,1,1319,3717,689,3028,21845
35703,11,50,2.0,0.9,1,1.0,1,951,1927,689,1237,23466
36767,12,50,2.0,0.9,1,1.0,1,873,1811,689,1121,25332
37650,13,50,2.0,0.9,1,1.0,1,894,1800,689,1110,27141
38867,14,50,2.0,0.9,1,1.0,1,918,2517,689,1827,29313
39869,15,50,2.0,0.9,1,1.0,1,1387,2899,689,2209,30309
40845,16,50,2.0,0.9,1,1.0,1,821,1829,689,1139,32175
41481,17,50,2.0,0.9,1,1.0,1,848,2092,689,1403,33427
42379,18,50,2.0,0.9,1,1.0,1,871,1995,689,1305,34958
43251,19,50,2.0,0.9,1,1.0,1,899,1805,689,1115,36792
44734,20,50,2.0,0.9,1,1.0,1,1144,2195,689,1505,38803
47437,21,50,2.0,0.9,1,0.0,2,2244,3172,432,2740,38803
48730,22,50,2.0,0.9,1,1.0,1,897,2052,689,1362,41052
68560,23,50,2.0,0.9,1,1.0,1,3648,4778,689,4088,41802
69559,24,50,2.0,0.9,1,1.0,1,1020,1846,689,1156,43103
71605,25,50,2.0,0.9,1,0.0,2,2582,3831,432,3399,43103
73122,26,50,2.0,0.9,1,1.0,1,1095,3200,689,2510,44777
74293,27,50,2.0,0.9,1,1.0,1,974,1934,689,1245,46224
75026,28,50,2.0,0.9,1,1.0,1,923,2099,689,1410,47354
76059,29,50,2.0,0.9,1,1.0,1,1303,2135,689,1446,48315
76860,30,50,2.0,0.9,1,1.0,1,903,1999,689,1310,49907
78808,31,50,2.0,0.9,1,1.0,1,3129,4300,689,3610,50554
79577,32,50,2.0,0.9,1,1.0,1,858,1778,689,1088,52159
83674,33,50,2.0,0.9,1,0.0,2,5245,5936,432,5504,52159
85091,34,50,2.0,0.9,1,1.0,1,937,2016,689,1326,54567
85828,35,50,2.0,0.9,1,1.0,1,835,1964,689,1274,56201
87344,36,50,2.0,0.9,1,1.0,1,738,1668,689,978,58876
92677,37,50,2.0,0.9,2,0.0,1,9017,10062,689,9372,58876
93561,38,50,2.0,0.9,1,1.0,1,794,1782,689,1092,60877
94361,39,50,2.0,0.9,1,1.0,1,950,2020,689,1331,62223
95113,40,50,2.0,0.9,1,1.0,1,1220,1960,689,1270,62465
96134,41,50,2.0,0.9,1,1.0,1,838,2099,689,1409,64323
97069,42,50,2.0,0.9,1,1.0,1,850,1816,689,1126,66279
97970,43,50,2.0,0.9,1,1.0,1,794,1609,689,919,68299
98802,44,50,2.0,0.9,1,1.0,1,806,1751,689,1061,69971
99652,45,50,2.0,0.9,1,1.0,1,916,1792,689,1102,71426
101002,46,50,2.0,0.9,1,1.0,1,991,1893,689,1203,73483
101817,47,50,2.0,0.9,1,1.0,1,838,1847,689,1157,75109
103052,48,50,2.0,0.9,1,1.0,1,837,1674,689,984,77624
103982,49,50,2.0,0.9,1,1.0,1,896,1793,689,1104,79768
107299,50,50,2.0,0.9,1,0.0,2,2139,3031,432,2599,79768
110029,51,50,2.0,0.75,2,0.0,1,3772,4953,689,4263,79768
111213,52,50,2.0,0.75,1,1.0,1,1169,2204,689,1515,81445
112446,53,50,2.0,0.75,1,1.0,1,838,1792,689,1102,84212
114914,54,50,2.0,0.75,1,0.0,2,2197,3074,432,2642,84212
116037,55,50,2.0,0.75,1,1.0,1,1069,2326,689,1636,85755
118135,56,50,2.0,0.75,2,0.0,1,2354,3786,689,3096,85755
118852,57,50,2.0,0.75,1,1.0,1,847,1816,689,1127,87132
120504,58,50,2.0,0.75,1,1.0,1,3164,5133,689,4443,87693
123054,59,50,2.0,0.75,1,0.0,2,4722,5723,432,5291,87693
159342,60,50,2.0,0.75,2,0.0,1,2607,3783,689,3094,87693
161426,61,50,2.0,0.75,1,1.0,1,1302,2316,689,1626,88853
162163,62,50,2.0,0.75,1,1.0,1,1007,2388,689,1698,89984
165648,63,50,2.0,0.75,2,0.0,1,7629,8709,689,8019,89984
167013,64,50,2.0,0.75,1,1.0,1,1285,2204,689,1515,91099
167841,65,50,2.0,0.75,1,1.0,1,950,2131,689,1441,92290
169141,66,50,2.0,0.75,1,1.0,1,985,2107,689,1417,94172
170141,67,50,2.0,0.75,1,1.0,1,957,1881,689,1191,95764
170908,68,50,2.0,0.75,1,1.0,1,863,1708,689,1018,97333
171801,69,50,2.0,0.75,1,1.0,1,1034,1987,689,1297,98762
172802,70,50,2.0,0.75,1,1.0,1,1006,1984,689,1294,100602
173519,71,50,2.0,0.75,1,1.0,1,864,1821,689,1131,102336
176453,72,50,2.0,0.75,1,0.0,2,3001,3756,432,3324,102336
177736,73,50,2.0,0.75,1,1.0,1,1429,3194,689,2504,103518
178502,74,50,2.0,0.75,1,1.0,1,1217,2059,689,1369,103823
179236,75,50,2.0,0.75,1,1.0,1,1102,2316,689,1626,104900
181553,76,50,2.0,0.75,1,1.0,1,3070,4023,689,3334,105713
182286,77,50,2.0,0.75,1,1.0,1,912,2159,689,1469,107135
183204,78,50,2.0,0.75,1,1.0,1,1006,1870,689,1180,108017
184420,79,50,2.0,0.75,1,1.0,1,1054,1979,689,1289,109421
185607,80,50,2.0,0.75,1,1.0,1,1636,2801,689,2111,110755
186708,81,50,2.0,0.75,1,1.0,1,834,1717,689,1027,113020
187939,82,50,2.0,0.75,1,1.0,1,822,1978,689,1288,115278
190425,83,50,2.0,0.75,1,0.0,2,2392,3088,432,2655,115278
191661,84,50,2.0,0.75,1,1.0,1,918,2060,689,1370,117860
192761,85,50,2.0,0.75,1,1.0,1,791,1668,689,979,120599
193794,86,50,2.0,0.75,1,1.0,1,771,1762,689,1072,122889
194545,87,50,2.0,0.75,1,1.0,1,832,1894,689,1204,124622
195529,88,50,2.0,0.75,1,1.0,1,946,1920,689,1230,126561
196812,89,50,2.0,0.75,1,1.0,1,867,1712,689,1022,129398
199286,90,50,2.0,0.75,1,0.0,2,2594,3780,432,3348,129398
201610,91,50,2.0,0.75,2,0.0,1,2209,3231,689,2541,129398
202462,92,50,2.0,0.75,1,1.0,1,723,1907,689,1217,130874
203479,93,50,2.0,0.75,1,1.0,1,864,1743,689,1053,132761
204884,94,50,2.0,0.75,1,0.0,2,2202,2995,432,2563,132761
207369,95,50,2.0,0.75,1,0.0,2,4297,5165,432,4732,132761
208519,96,50,2.0,0.75,1,1.0,1,1210,2210,689,1520,134041
