2016,7,11,14,32
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
34030.0,1,50,1,0.25,1,2,511,659,1170,830,340,70
39953.0,2,50,1,0.25,0,1,1626,566,2193,830,1363,70
42794.0,3,50,1,0.25,1,1,477,748,1226,830,396,138
46574.0,4,50,1,0.25,0,2,1151,778,1929,830,1099,138
50074.0,5,50,1,0.25,0,1,1258,619,1878,830,1048,138
52274.0,6,50,1,0.25,1,1,476,699,1175,830,345,209
54453.0,7,50,1,0.25,0,2,1166,1382,2548,830,1718,209
56415.0,8,50,1,0.25,1,1,797,576,1374,830,544,269
58335.0,9,50,1,0.25,1,1,536,654,1191,830,361,339
61453.0,10,50,1,0.25,1,1,498,968,1467,830,637,395
63934.0,11,50,1,0.25,0,2,1549,1083,2633,830,1803,395
66439.0,12,50,1,0.25,0,2,1766,494,2260,830,1430,395
70048.0,13,50,1,0.25,1,2,499,1400,1899,830,1069,439
72607.0,14,50,1,0.25,1,2,829,576,1405,830,575,498
76926.0,15,50,1,0.25,1,2,934,692,1627,830,797,549
78888.0,16,50,1,0.25,1,2,491,578,1069,830,239,627
83487.0,17,50,1,0.25,0,1,1675,684,2360,830,1530,627
86268.0,18,50,1,0.25,1,1,437,608,1046,830,216,706
87509.0,19,50,1,0.25,1,1,429,590,1019,830,189,787
90667.0,20,50,1,0.25,0,2,1587,538,2126,830,1296,787
92288.0,21,50,1,0.25,1,1,519,665,1185,830,355,857
95891.0,22,50,1,0.25,0,2,1585,701,2287,830,1457,857
97090.0,23,50,1,0.25,1,2,459,607,1067,830,237,935
98368.0,24,50,1,0.25,1,2,483,572,1056,830,226,1014
99850.0,25,50,1,0.25,1,2,530,588,1119,830,289,1088
104789.0,26,50,1,0.25,0,1,1536,2906,4442,830,3612,1088
107749.0,27,50,1,0.25,0,2,1542,743,2285,830,1455,1088
110213.0,28,50,1,0.25,0,1,1555,644,2200,830,1370,1088
111512.0,29,50,1,0.25,1,1,456,565,1022,830,192,1169
114711.0,30,50,1,0.25,0,2,1900,664,2564,830,1734,1169
117112.0,31,50,1,0.25,1,2,634,671,1306,830,476,1233
118352.0,32,50,1,0.25,1,2,459,651,1110,830,280,1307
119614.0,33,50,1,0.25,1,2,437,629,1067,830,237,1385
121351.0,34,50,1,0.25,1,2,530,636,1167,830,337,1456
122954.0,35,50,1,0.25,1,2,446,745,1191,830,361,1526
125296.0,36,50,1,0.25,0,1,1529,909,2438,830,1608,1526
127595.0,37,50,1,0.25,0,1,1733,736,2469,830,1639,1526
130335.0,38,50,1,0.25,0,2,1549,545,2094,830,1264,1526
133876.0,39,50,1,0.25,0,2,1538,553,2092,830,1262,1526
135697.0,40,50,1,0.25,1,2,539,932,1472,830,642,1582
138038.0,41,50,1,0.25,1,1,515,985,1500,830,670,1637
142717.0,42,50,1,0.25,0,2,1631,1680,3311,830,2481,1637
143840.0,43,50,1,0.25,1,2,432,597,1030,830,200,1718
146520.0,44,50,1,0.25,0,1,1121,726,1848,830,1018,1718
147720.0,45,50,1,0.25,1,1,448,674,1123,830,293,1792
152337.0,46,50,1,0.25,0,2,1737,1668,3405,830,2575,1792
154059.0,47,50,1,0.25,1,2,449,541,991,830,161,1876
155847.0,48,50,1,0.25,1,2,585,593,1178,830,348,1946
158389.0,49,50,1,0.25,1,2,548,659,1208,830,378,2015
159747.0,50,50,1,0.25,1,2,468,651,1120,830,290,2089
161450.0,51,50,1,0.9,1,2,438,553,992,830,162,2172
164251.0,52,50,1,0.9,0,1,1569,544,2114,830,1284,2172
165849.0,53,50,1,0.9,1,1,482,551,1033,830,203,2253
167688.0,54,50,1,0.9,1,1,481,951,1433,830,603,2311
170128.0,55,50,1,0.9,0,2,1457,1249,2706,830,1876,2311
173368.0,56,50,1,0.9,0,1,1523,754,2277,830,1447,2311
174810.0,57,50,1,0.9,1,1,531,858,1389,830,559,2370
176030.0,58,50,1,0.9,1,1,477,582,1059,830,229,2449
177472.0,59,50,1,0.9,1,1,504,554,1059,830,229,2527
178689.0,60,50,1,0.9,1,1,446,695,1142,830,312,2600
180369.0,61,50,1,0.9,1,1,572,779,1352,830,522,2661
181708.0,62,50,1,0.9,1,1,459,640,1100,830,270,2736
183749.0,63,50,1,0.9,1,1,476,652,1129,830,299,2810
185173.0,64,50,1,0.9,1,1,512,511,1023,830,193,2891
187114.0,65,50,1,0.9,1,1,466,611,1078,830,248,2968
188954.0,66,50,1,0.9,1,1,496,680,1177,830,347,3038
190794.0,67,50,1,0.9,1,1,440,647,1088,830,258,3115
194314.0,68,50,1,0.9,1,1,483,705,1188,830,358,3184
195697.0,69,50,1,0.9,1,1,448,786,1235,830,405,3252
197896.0,70,50,1,0.9,1,1,456,642,1098,830,268,3327
199435.0,71,50,1,0.9,1,1,466,781,1248,830,418,3394
201254.0,72,50,1,0.9,1,1,438,655,1093,830,263,3470
202696.0,73,50,1,0.9,1,1,498,726,1225,830,395,3537
204456.0,74,50,1,0.9,1,1,445,571,1017,830,187,3619
205997.0,75,50,1,0.9,1,1,447,531,978,830,148,3704
207499.0,76,50,1,0.9,1,1,538,780,1318,830,488,3767
210978.0,77,50,1,0.9,0,2,1582,723,2305,830,1475,3767
213938.0,78,50,1,0.9,0,1,1510,786,2297,830,1467,3767
219240.0,79,50,1,0.9,1,1,493,816,1309,830,479,3830
220597.0,80,50,1,0.9,1,1,452,608,1060,830,230,3908
222557.0,81,50,1,0.9,1,1,533,659,1193,830,363,3978
223879.0,82,50,1,0.9,1,1,438,659,1097,830,267,4054
225739.0,83,50,1,0.9,1,1,506,598,1104,830,274,4129
226917.0,84,50,1,0.9,1,1,453,490,944,830,114,4217
228299.0,85,50,1,0.9,1,1,457,631,1089,830,259,4293
229920.0,86,50,1,0.9,1,1,462,668,1130,830,300,4366
231940.0,87,50,1,0.9,1,1,446,686,1132,830,302,4439
234041.0,88,50,1,0.9,1,1,477,565,1043,830,213,4519
236881.0,89,50,1,0.9,1,1,445,680,1126,830,296,4593
