2015,11,25,17,51
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
9316.0,1,50,1,0.5,1,2,240,271,512,395,117,77
10916.0,2,50,1,0.5,0,1,1055,967,2023,724,1299,112
12007.0,3,50,1,0.5,1,2,248,1564,1812,395,1417,134
12828.0,4,50,1,0.5,1,2,281,1890,2171,395,1775,152
14507.0,5,50,1,0.5,0,1,1137,2497,3635,724,2910,172
15287.0,6,50,1,0.5,1,2,249,2857,3106,395,2711,185
16887.0,7,50,1,0.5,0,1,1206,3436,4643,724,3919,201
17987.0,8,50,1,0.5,1,1,478,3948,4427,724,3702,217
19767.0,9,50,1,0.5,0,2,1209,4465,5675,395,5279,224
21727.0,10,50,1,0.5,0,1,1087,4945,6032,724,5308,236
23507.0,11,50,1,0.5,0,1,830,5564,6394,724,5670,247
25228.0,12,50,1,0.5,0,2,1012,6088,7100,395,6704,253
26050.0,13,50,1,0.5,1,2,244,6513,6757,395,6361,259
27628.0,14,50,1,0.5,1,1,501,7069,7571,724,6846,268
29851.0,15,50,1,0.5,0,1,1049,7726,8775,724,8051,277
31548.0,16,50,1,0.5,0,1,1005,8208,9213,724,8488,285
32591.0,17,50,1,0.5,1,1,461,8724,9185,724,8461,292
33773.0,18,50,1,0.5,1,1,401,9369,9771,724,9046,300
34734.0,19,50,1,0.5,1,1,400,9973,10373,724,9649,307
36192.0,20,50,1,0.5,1,1,391,10474,10866,724,10141,313
37312.0,21,50,1,0.5,1,1,395,11002,11397,724,10673,320
38482.0,22,50,1,0.5,1,1,400,11476,11876,724,11152,326
40178.0,23,50,1,0.5,0,2,1277,11853,13131,395,12735,329
41700.0,24,50,1,0.5,0,2,1152,12343,13495,395,13099,332
43620.0,25,50,1,0.5,0,1,1175,12963,14138,724,13413,337
45799.0,26,50,1,0.5,0,1,1079,13687,14767,724,14042,342
48042.0,27,50,1,0.5,0,2,1503,14064,15568,395,15172,344
52683.0,28,50,1,0.5,0,2,3982,14719,18701,395,18305,347
54661.0,29,50,1,0.5,0,1,1027,15426,16453,724,15729,351
56662.0,30,50,1,0.5,0,1,917,16012,16930,724,16205,355
58461.0,31,50,1,0.5,0,2,1613,16312,17926,395,17530,357
60102.0,32,50,1,0.5,0,1,1402,16874,18276,724,17552,361
61403.0,33,50,1,0.5,1,1,506,17519,18026,724,17301,365
63942.0,34,50,1,0.5,0,2,1525,18100,19626,395,19230,367
64885.0,35,50,1,0.5,1,2,274,18472,18747,395,18351,370
66803.0,36,50,1,0.5,0,1,1147,18976,20123,724,19399,373
68522.0,37,50,1,0.5,0,2,1368,19380,20748,395,20353,375
69502.0,38,50,1,0.5,1,2,249,19826,20076,395,19680,377
71702.0,39,50,1,0.5,0,1,1106,20567,21674,724,20949,380
72880.0,40,50,1,0.5,1,1,416,21341,21758,724,21033,384
