trialNum, blockWidth, MillisTime, pos, leftTriggerProbability, MouseX, MouseY, Start/CollectionDiameter, ForageDiameter, CircleX0, Circle Y0, CircleX1, CircleY1, CircleX2, CircleyY2, TrialState
1,2,5068.0,1,0.75,845,904,20,150,840,900,540,500,1140,500,2
1,2,5086.0,1,0.75,845,903,20,150,840,900,540,500,1140,500,2
1,2,5108.0,1,0.75,844,901,20,150,840,900,540,500,1140,500,2
1,2,5128.0,1,0.75,842,899,20,150,840,900,540,500,1140,500,2
1,2,5149.0,1,0.75,842,898,20,150,840,900,540,500,1140,500,2
1,2,5168.0,1,0.75,842,898,20,150,840,900,540,500,1140,500,2
1,2,5188.0,1,0.75,842,898,20,150,840,900,540,500,1140,500,2
1,2,5210.0,1,0.75,842,898,20,150,840,900,540,500,1140,500,2
1,2,5228.0,1,0.75,841,898,20,150,840,900,540,500,1140,500,2
1,2,5249.0,1,0.75,841,898,20,150,840,900,540,500,1140,500,2
1,2,5267.0,1,0.75,841,898,20,150,840,900,540,500,1140,500,2
1,2,5286.0,1,0.75,841,898,20,150,840,900,540,500,1140,500,2
1,2,5309.0,1,0.75,841,898,20,150,840,900,540,500,1140,500,2
1,2,5327.0,1,0.75,841,898,20,150,840,900,540,500,1140,500,2
1,2,5348.0,1,0.75,841,898,20,150,840,900,540,500,1140,500,2
1,2,5367.0,1,0.75,839,893,20,150,840,900,540,500,1140,500,2
1,2,5387.0,1,0.75,839,893,20,150,840,900,540,500,1140,500,2
1,2,5408.0,1,0.75,832,875,20,150,840,900,540,500,1140,500,2
1,2,5427.0,1,0.75,826,866,20,150,840,900,540,500,1140,500,2
1,2,5447.0,1,0.75,820,859,20,150,840,900,540,500,1140,500,2
1,2,5467.0,1,0.75,815,851,20,150,840,900,540,500,1140,500,2
1,2,5487.0,1,0.75,809,845,20,150,840,900,540,500,1140,500,2
1,2,5507.0,1,0.75,802,840,20,150,840,900,540,500,1140,500,2
1,2,5529.0,1,0.75,790,834,20,150,840,900,540,500,1140,500,2
1,2,5547.0,1,0.75,784,831,20,150,840,900,540,500,1140,500,2
1,2,5568.0,1,0.75,777,825,20,150,840,900,540,500,1140,500,2
1,2,5587.0,1,0.75,746,803,20,150,840,900,540,500,1140,500,2
1,2,5607.0,1,0.75,723,777,20,150,840,900,540,500,1140,500,2
1,2,5628.0,1,0.75,693,742,20,150,840,900,540,500,1140,500,2
1,2,5649.0,1,0.75,668,712,20,150,840,900,540,500,1140,500,2
1,2,5667.0,1,0.75,649,689,20,150,840,900,540,500,1140,500,2
1,2,5687.0,1,0.75,635,673,20,150,840,900,540,500,1140,500,2
1,2,5708.0,1,0.75,623,655,20,150,840,900,540,500,1140,500,2
1,2,5728.0,1,0.75,618,648,20,150,840,900,540,500,1140,500,2
1,2,5748.0,1,0.75,614,643,20,150,840,900,540,500,1140,500,2
1,2,5769.0,1,0.75,607,636,20,150,840,900,540,500,1140,500,2
1,2,5788.0,1,0.75,601,628,20,150,840,900,540,500,1140,500,2
1,2,5807.0,1,0.75,595,620,20,150,840,900,540,500,1140,500,2
1,2,5827.0,1,0.75,585,607,20,150,840,900,540,500,1140,500,2
1,2,5847.0,1,0.75,569,588,20,150,840,900,540,500,1140,500,2
1,2,5869.0,1,0.75,563,581,20,150,840,900,540,500,1140,500,2
1,2,5887.0,1,0.75,557,572,20,150,840,900,540,500,1140,500,2
1,2,5908.0,1,0.75,549,562,20,150,840,900,540,500,1140,500,3
1,2,5928.0,1,0.75,543,555,20,150,840,900,540,500,1140,500,3
1,2,5947.0,1,0.75,541,551,20,150,840,900,540,500,1140,500,3
1,2,5968.0,1,0.75,541,549,20,150,840,900,540,500,1140,500,3
1,2,5987.0,1,0.75,539,547,20,150,840,900,540,500,1140,500,3
1,2,6009.0,1,0.75,539,545,20,150,840,900,540,500,1140,500,3
1,2,6028.0,1,0.75,539,544,20,150,840,900,540,500,1140,500,3
1,2,6047.0,1,0.75,538,543,20,150,840,900,540,500,1140,500,3
1,2,6068.0,1,0.75,538,543,20,150,840,900,540,500,1140,500,3
1,2,6089.0,1,0.75,538,543,20,150,840,900,540,500,1140,500,3
1,2,6107.0,1,0.75,538,542,20,150,840,900,540,500,1140,500,3
1,2,6129.0,1,0.75,541,542,20,150,840,900,540,500,1140,500,3
1,2,6148.0,1,0.75,546,542,20,150,840,900,540,500,1140,500,3
1,2,6170.0,1,0.75,556,543,20,150,840,900,540,500,1140,500,3
1,2,6187.0,1,0.75,567,549,20,150,840,900,540,500,1140,500,3
1,2,6207.0,1,0.75,594,564,20,150,840,900,540,500,1140,500,3
1,2,6230.0,1,0.75,625,587,20,150,840,900,540,500,1140,500,3
1,2,6248.0,1,0.75,687,652,20,150,840,900,540,500,1140,500,3
1,2,6268.0,1,0.75,708,683,20,150,840,900,540,500,1140,500,3
1,2,6287.0,1,0.75,724,710,20,150,840,900,540,500,1140,500,3
1,2,6307.0,1,0.75,738,733,20,150,840,900,540,500,1140,500,3
1,2,6327.0,1,0.75,755,755,20,150,840,900,540,500,1140,500,3
1,2,6347.0,1,0.75,767,770,20,150,840,900,540,500,1140,500,3
1,2,6367.0,1,0.75,781,785,20,150,840,900,540,500,1140,500,3
1,2,6387.0,1,0.75,801,800,20,150,840,900,540,500,1140,500,3
1,2,6410.0,1,0.75,809,804,20,150,840,900,540,500,1140,500,3
1,2,6429.0,1,0.75,813,807,20,150,840,900,540,500,1140,500,3
1,2,6455.0,1,0.75,815,809,20,150,840,900,540,500,1140,500,3
1,2,6476.0,1,0.75,815,809,20,150,840,900,540,500,1140,500,3
1,2,6496.0,1,0.75,824,821,20,150,840,900,540,500,1140,500,3
1,2,6515.0,1,0.75,828,824,20,150,840,900,540,500,1140,500,3
1,2,6536.0,1,0.75,828,824,20,150,840,900,540,500,1140,500,3
1,2,6555.0,1,0.75,835,836,20,150,840,900,540,500,1140,500,3
1,2,6578.0,1,0.75,839,844,20,150,840,900,540,500,1140,500,3
1,2,6596.0,1,0.75,839,844,20,150,840,900,540,500,1140,500,3
1,2,6618.0,1,0.75,844,860,20,150,840,900,540,500,1140,500,3
1,2,6637.0,1,0.75,844,866,20,150,840,900,540,500,1140,500,3
1,2,6656.0,1,0.75,844,870,20,150,840,900,540,500,1140,500,3
1,2,6676.0,1,0.75,844,874,20,150,840,900,540,500,1140,500,3
1,2,6696.0,1,0.75,845,880,20,150,840,900,540,500,1140,500,3
1,2,6716.0,1,0.75,845,881,20,150,840,900,540,500,1140,500,3
1,2,6737.0,1,0.75,846,881,20,150,840,900,540,500,1140,500,3
1,2,6757.0,1,0.75,846,881,20,150,840,900,540,500,1140,500,3
1,2,6777.0,1,0.75,846,881,20,150,840,900,540,500,1140,500,3
1,2,6797.0,1,0.75,846,881,20,150,840,900,540,500,1140,500,3
1,2,6815.0,1,0.75,848,887,20,150,840,900,540,500,1140,500,3
1,2,6837.0,1,0.75,849,891,20,150,840,900,540,500,1140,500,3
1,2,6857.0,1,0.75,849,893,20,150,840,900,540,500,1140,500,3
1,2,6876.0,1,0.75,849,895,20,150,840,900,540,500,1140,500,3
1,2,6897.0,1,0.75,849,895,20,150,840,900,540,500,1140,500,3
1,2,6916.0,1,0.75,849,895,20,150,840,900,540,500,1140,500,3
1,2,6937.0,1,0.75,849,895,20,150,840,900,540,500,1140,500,3
1,2,6958.0,1,0.75,849,895,20,150,840,900,540,500,1140,500,3
1,2,6977.0,1,0.75,849,895,20,150,840,900,540,500,1140,500,3
1,2,6995.0,1,0.75,849,895,20,150,840,900,540,500,1140,500,3
1,2,7015.0,1,0.75,845,896,20,150,840,900,540,500,1140,500,3
2,2,7036.0,1,0.75,842,896,20,150,840,900,540,500,1140,500,1
2,2,7058.0,1,0.75,840,897,20,150,840,900,540,500,1140,500,2
2,2,7075.0,1,0.75,838,898,20,150,840,900,540,500,1140,500,2
2,2,7096.0,1,0.75,838,899,20,150,840,900,540,500,1140,500,2
2,2,7116.0,1,0.75,836,900,20,150,840,900,540,500,1140,500,2
2,2,7136.0,1,0.75,836,900,20,150,840,900,540,500,1140,500,2
2,2,7156.0,1,0.75,834,902,20,150,840,900,540,500,1140,500,2
2,2,7178.0,1,0.75,833,903,20,150,840,900,540,500,1140,500,2
2,2,7196.0,1,0.75,833,904,20,150,840,900,540,500,1140,500,2
2,2,7216.0,1,0.75,832,905,20,150,840,900,540,500,1140,500,2
2,2,7237.0,1,0.75,832,905,20,150,840,900,540,500,1140,500,2
2,2,7258.0,1,0.75,832,905,20,150,840,900,540,500,1140,500,2
2,2,7275.0,1,0.75,831,905,20,150,840,900,540,500,1140,500,2
2,2,7297.0,1,0.75,829,905,20,150,840,900,540,500,1140,500,2
2,2,7315.0,1,0.75,820,898,20,150,840,900,540,500,1140,500,2
2,2,7338.0,1,0.75,809,882,20,150,840,900,540,500,1140,500,2
2,2,7356.0,1,0.75,787,850,20,150,840,900,540,500,1140,500,2
2,2,7376.0,1,0.75,758,808,20,150,840,900,540,500,1140,500,2
2,2,7398.0,1,0.75,719,748,20,150,840,900,540,500,1140,500,2
2,2,7417.0,1,0.75,614,618,20,150,840,900,540,500,1140,500,2
2,2,7436.0,1,0.75,565,562,20,150,840,900,540,500,1140,500,2
2,2,7458.0,1,0.75,529,522,20,150,840,900,540,500,1140,500,3
2,2,7476.0,1,0.75,504,493,20,150,840,900,540,500,1140,500,3
2,2,7498.0,1,0.75,497,484,20,150,840,900,540,500,1140,500,3
2,2,7515.0,1,0.75,497,483,20,150,840,900,540,500,1140,500,3
2,2,7535.0,1,0.75,497,483,20,150,840,900,540,500,1140,500,3
2,2,7557.0,1,0.75,497,483,20,150,840,900,540,500,1140,500,3
2,2,7577.0,1,0.75,496,482,20,150,840,900,540,500,1140,500,3
2,2,7596.0,1,0.75,496,482,20,150,840,900,540,500,1140,500,3
2,2,7615.0,1,0.75,496,482,20,150,840,900,540,500,1140,500,3
2,2,7638.0,1,0.75,497,482,20,150,840,900,540,500,1140,500,3
2,2,7656.0,1,0.75,501,482,20,150,840,900,540,500,1140,500,3
2,2,7675.0,1,0.75,513,489,20,150,840,900,540,500,1140,500,3
2,2,7695.0,1,0.75,537,508,20,150,840,900,540,500,1140,500,3
2,2,7716.0,1,0.75,568,535,20,150,840,900,540,500,1140,500,3
2,2,7738.0,1,0.75,664,627,20,150,840,900,540,500,1140,500,3
2,2,7756.0,1,0.75,716,677,20,150,840,900,540,500,1140,500,3
2,2,7776.0,1,0.75,750,724,20,150,840,900,540,500,1140,500,3
2,2,7795.0,1,0.75,770,759,20,150,840,900,540,500,1140,500,3
2,2,7817.0,1,0.75,793,805,20,150,840,900,540,500,1140,500,3
2,2,7836.0,1,0.75,798,816,20,150,840,900,540,500,1140,500,3
2,2,7857.0,1,0.75,802,826,20,150,840,900,540,500,1140,500,3
2,2,7876.0,1,0.75,808,834,20,150,840,900,540,500,1140,500,3
2,2,7896.0,1,0.75,813,842,20,150,840,900,540,500,1140,500,3
2,2,7915.0,1,0.75,816,846,20,150,840,900,540,500,1140,500,3
2,2,7936.0,1,0.75,818,848,20,150,840,900,540,500,1140,500,3
2,2,7956.0,1,0.75,821,849,20,150,840,900,540,500,1140,500,3
2,2,7977.0,1,0.75,827,851,20,150,840,900,540,500,1140,500,3
2,2,7996.0,1,0.75,832,855,20,150,840,900,540,500,1140,500,3
2,2,8017.0,1,0.75,837,858,20,150,840,900,540,500,1140,500,3
2,2,8036.0,1,0.75,838,860,20,150,840,900,540,500,1140,500,3
2,2,8057.0,1,0.75,839,861,20,150,840,900,540,500,1140,500,3
2,2,8076.0,1,0.75,841,874,20,150,840,900,540,500,1140,500,3
2,2,8099.0,1,0.75,842,883,20,150,840,900,540,500,1140,500,3
2,2,8117.0,1,0.75,842,892,20,150,840,900,540,500,1140,500,3
3,2,8137.0,1,0.75,842,897,20,150,840,900,540,500,1140,500,1
3,2,8157.0,1,0.25,842,902,20,150,840,900,540,500,1140,500,2
3,2,8175.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8198.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8216.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8238.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8257.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8278.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8297.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8316.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8336.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8357.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8378.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8396.0,1,0.25,842,904,20,150,840,900,540,500,1140,500,2
3,2,8428.0,1,0.25,842,902,20,150,840,900,540,500,1140,500,2
3,2,8450.0,1,0.25,831,879,20,150,840,900,540,500,1140,500,2
3,2,8469.0,1,0.25,777,802,20,150,840,900,540,500,1140,500,2
3,2,8490.0,1,0.25,740,764,20,150,840,900,540,500,1140,500,2
3,2,8508.0,1,0.25,716,739,20,150,840,900,540,500,1140,500,2
3,2,8528.0,1,0.25,699,718,20,150,840,900,540,500,1140,500,2
3,2,8549.0,1,0.25,686,700,20,150,840,900,540,500,1140,500,2
3,2,8569.0,1,0.25,657,662,20,150,840,900,540,500,1140,500,2
3,2,8588.0,1,0.25,639,638,20,150,840,900,540,500,1140,500,2
3,2,8610.0,1,0.25,621,611,20,150,840,900,540,500,1140,500,2
3,2,8628.0,1,0.25,608,593,20,150,840,900,540,500,1140,500,2
3,2,8650.0,1,0.25,601,582,20,150,840,900,540,500,1140,500,2
3,2,8670.0,1,0.25,593,565,20,150,840,900,540,500,1140,500,2
3,2,8691.0,1,0.25,586,554,20,150,840,900,540,500,1140,500,2
3,2,8708.0,1,0.25,571,535,20,150,840,900,540,500,1140,500,2
3,2,8730.0,1,0.25,551,513,20,150,840,900,540,500,1140,500,2
3,2,8749.0,1,0.25,528,490,20,150,840,900,540,500,1140,500,2
3,2,8770.0,1,0.25,516,478,20,150,840,900,540,500,1140,500,2
3,2,8789.0,1,0.25,515,475,20,150,840,900,540,500,1140,500,2
3,2,8810.0,1,0.25,514,475,20,150,840,900,540,500,1140,500,2
3,2,8830.0,1,0.25,514,474,20,150,840,900,540,500,1140,500,2
3,2,8849.0,1,0.25,514,474,20,150,840,900,540,500,1140,500,2
3,2,8869.0,1,0.25,514,474,20,150,840,900,540,500,1140,500,2
3,2,8889.0,1,0.25,514,474,20,150,840,900,540,500,1140,500,2
3,2,8908.0,1,0.25,514,474,20,150,840,900,540,500,1140,500,2
3,2,8928.0,1,0.25,514,474,20,150,840,900,540,500,1140,500,2
3,2,8950.0,1,0.25,518,479,20,150,840,900,540,500,1140,500,2
3,2,8968.0,1,0.25,607,574,20,150,840,900,540,500,1140,500,2
3,2,8990.0,1,0.25,681,654,20,150,840,900,540,500,1140,500,2
3,2,9011.0,1,0.25,762,745,20,150,840,900,540,500,1140,500,2
3,2,9031.0,1,0.25,814,815,20,150,840,900,540,500,1140,500,2
3,2,9047.0,1,0.25,838,859,20,150,840,900,540,500,1140,500,2
3,2,9067.0,1,0.25,852,886,20,150,840,900,540,500,1140,500,2
3,2,9089.0,1,0.25,863,900,20,150,840,900,540,500,1140,500,2
3,2,9108.0,1,0.25,877,909,20,150,840,900,540,500,1140,500,2
3,2,9129.0,1,0.25,881,909,20,150,840,900,540,500,1140,500,2
3,2,9150.0,1,0.25,886,908,20,150,840,900,540,500,1140,500,2
3,2,9167.0,1,0.25,888,907,20,150,840,900,540,500,1140,500,2
3,2,9188.0,1,0.25,890,903,20,150,840,900,540,500,1140,500,2
3,2,9208.0,1,0.25,892,899,20,150,840,900,540,500,1140,500,2
3,2,9228.0,1,0.25,896,894,20,150,840,900,540,500,1140,500,2
3,2,9251.0,1,0.25,932,844,20,150,840,900,540,500,1140,500,2
3,2,9270.0,1,0.25,984,775,20,150,840,900,540,500,1140,500,2
3,2,9290.0,1,0.25,1029,715,20,150,840,900,540,500,1140,500,2
3,2,9307.0,1,0.25,1058,664,20,150,840,900,540,500,1140,500,2
3,2,9330.0,1,0.25,1092,572,20,150,840,900,540,500,1140,500,2
3,2,9348.0,1,0.25,1102,550,20,150,840,900,540,500,1140,500,2
3,2,9368.0,1,0.25,1106,535,20,150,840,900,540,500,1140,500,3
3,2,9388.0,1,0.25,1108,526,20,150,840,900,540,500,1140,500,3
3,2,9408.0,1,0.25,1109,522,20,150,840,900,540,500,1140,500,3
3,2,9428.0,1,0.25,1110,518,20,150,840,900,540,500,1140,500,3
3,2,9451.0,1,0.25,1114,507,20,150,840,900,540,500,1140,500,3
3,2,9469.0,1,0.25,1116,499,20,150,840,900,540,500,1140,500,3
3,2,9490.0,1,0.25,1117,495,20,150,840,900,540,500,1140,500,3
3,2,9508.0,1,0.25,1118,491,20,150,840,900,540,500,1140,500,3
3,2,9528.0,1,0.25,1122,487,20,150,840,900,540,500,1140,500,3
3,2,9551.0,1,0.25,1124,485,20,150,840,900,540,500,1140,500,3
3,2,9569.0,1,0.25,1124,484,20,150,840,900,540,500,1140,500,3
3,2,9588.0,1,0.25,1124,484,20,150,840,900,540,500,1140,500,3
3,2,9608.0,1,0.25,1118,499,20,150,840,900,540,500,1140,500,3
3,2,9628.0,1,0.25,1107,524,20,150,840,900,540,500,1140,500,3
3,2,9650.0,1,0.25,1079,572,20,150,840,900,540,500,1140,500,3
3,2,9669.0,1,0.25,1037,645,20,150,840,900,540,500,1140,500,3
