2016,2,12,14,56
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
5852.0,1,1,1,0.1,0,2,1261,495,1756,830,926,47
7373.0,2,1,1,0.9,0,1,1310,1207,2518,830,1688,80
8725.0,3,1,1,0.5,1,1,717,2206,2923,830,2093,108
10285.0,4,1,1,0.25,1,1,509,4282,4792,830,3962,125
11486.0,5,1,1,0.75,1,1,453,5181,5635,830,4805,140
12944.0,6,1,2,0.9,1,1,843,6611,7454,1445,6009,160
14486.0,7,1,2,0.1,0,2,1631,7459,9091,830,8261,169
16025.0,8,1,2,0.25,0,1,1247,8325,9573,1445,8127,184
17386.0,9,1,2,0.75,1,1,833,9489,10323,1445,8877,198
18945.0,10,1,2,0.5,1,2,564,11011,11575,830,10745,205
