2016,7,12,10,54
timestamp, trialcnt, block, diameter, mousex, mousey
449832.0,0,0,0,60,314,6
449849.0,0,0,150,60,839,525
449865.0,0,0,150,60,839,525
449883.0,0,0,150,60,839,525
449900.0,0,0,150,60,839,525
449917.0,0,0,150,60,839,525
449934.0,0,0,150,60,839,525
449948.0,0,0,150,60,839,525
449966.0,0,0,150,60,839,525
449982.0,0,0,150,60,839,525
450000.0,0,0,150,60,839,525
450015.0,0,0,150,60,839,525
450033.0,0,0,150,60,839,525
450050.0,0,0,150,60,839,525
450066.0,0,0,150,60,839,525
450082.0,0,0,150,60,839,525
450100.0,0,0,150,60,839,525
450115.0,0,0,150,60,839,525
450134.0,0,0,150,60,839,525
450149.0,0,0,150,60,839,525
450166.0,0,0,150,60,839,525
450184.0,0,0,150,60,839,525
450201.0,0,0,150,60,839,525
450216.0,0,0,150,60,839,525
450232.0,0,0,150,60,839,525
450249.0,0,0,150,60,839,525
450267.0,0,0,150,60,839,525
450284.0,0,0,150,60,839,525
450321.0,0,0,150,60,839,525
450338.0,0,0,150,60,839,525
450355.0,0,0,150,60,839,525
450374.0,0,0,150,60,839,525
450388.0,0,0,150,60,839,525
450404.0,0,0,150,60,839,525
450421.0,0,0,150,60,839,525
450439.0,0,0,150,60,839,525
450455.0,0,0,150,60,839,525
450471.0,0,0,150,60,839,525
450488.0,0,0,150,60,839,525
450504.0,0,0,150,60,839,525
450521.0,0,0,150,60,839,525
450538.0,0,0,150,60,839,525
450557.0,0,0,150,60,839,525
450571.0,0,0,150,60,839,525
450588.0,0,0,150,60,839,525
450604.0,0,0,150,60,839,525
450621.0,0,0,150,60,839,525
450638.0,0,0,150,60,839,525
450655.0,0,0,150,60,839,525
450672.0,0,0,150,60,839,525
450688.0,0,0,150,60,839,525
450705.0,0,0,150,60,839,525
450723.0,0,0,150,60,839,525
450738.0,0,0,150,60,839,525
450755.0,0,0,150,60,839,525
450772.0,0,0,150,60,839,525
450788.0,0,0,150,60,839,525
450805.0,0,0,150,60,839,525
450822.0,0,0,150,60,839,525
450839.0,0,0,150,60,839,525
450855.0,0,0,150,60,839,525
450872.0,0,0,150,60,839,525
450888.0,0,0,150,60,839,525
450904.0,0,0,150,60,839,525
450922.0,0,0,150,60,839,525
450938.0,0,0,150,60,839,525
450956.0,0,0,150,60,839,525
450973.0,0,0,150,60,839,525
450988.0,0,0,150,60,839,525
451005.0,0,0,150,60,839,525
451023.0,0,0,150,60,839,525
451038.0,0,0,150,60,839,525
451055.0,0,0,150,60,839,525
451073.0,0,0,150,60,839,525
451089.0,0,0,150,60,839,525
451104.0,0,0,150,60,839,525
451124.0,0,0,150,60,839,525
451138.0,0,0,150,60,839,525
451155.0,0,0,150,60,839,525
451172.0,0,0,150,60,839,525
451188.0,0,0,150,60,839,525
451205.0,0,0,150,60,839,525
451223.0,0,0,150,60,839,525
451238.0,0,0,150,60,839,525
451254.0,0,0,150,60,839,525
451271.0,0,0,150,60,839,525
451288.0,0,0,150,60,839,525
451305.0,0,0,150,60,839,525
451322.0,0,0,150,60,839,525
451339.0,0,0,150,60,839,525
451356.0,0,0,150,60,839,525
451372.0,0,0,150,60,839,525
451388.0,0,0,150,60,839,525
451405.0,0,0,150,60,839,525
451422.0,0,0,150,60,839,525
451438.0,0,0,150,60,839,525
451455.0,0,0,150,60,839,525
451472.0,0,0,150,60,839,525
451490.0,0,0,150,60,839,525
451529.0,0,0,150,60,839,525
451548.0,0,0,150,60,839,525
451565.0,0,0,150,60,839,525
451580.0,0,0,150,60,839,525
451598.0,0,0,150,60,839,525
451613.0,0,0,150,60,839,525
451632.0,0,0,150,60,839,525
451647.0,0,0,150,60,839,525
451664.0,0,0,150,60,839,525
451679.0,0,0,150,60,839,525
451698.0,0,0,150,60,839,525
451714.0,0,0,150,60,839,525
451732.0,0,0,150,60,839,525
451746.0,0,0,150,60,839,525
451763.0,0,0,150,60,839,525
451780.0,0,0,150,60,839,525
451798.0,0,0,150,60,839,525
451813.0,0,0,150,60,839,525
451830.0,0,0,150,60,839,525
451846.0,0,0,150,60,839,525
451863.0,0,0,150,60,839,525
451882.0,0,0,150,60,839,525
451897.0,0,0,150,60,839,525
451914.0,0,0,150,60,839,525
451931.0,0,0,150,60,839,525
451948.0,0,0,150,60,839,525
451964.0,0,0,150,60,839,525
451981.0,0,0,150,60,839,525
451996.0,0,0,150,60,839,525
452014.0,0,0,150,60,839,525
452030.0,0,0,150,60,839,525
452047.0,0,0,150,60,839,525
452065.0,0,0,150,60,839,525
452080.0,0,0,150,60,839,525
452098.0,0,0,150,60,839,525
452113.0,0,0,150,60,839,525
452129.0,0,0,150,60,839,525
452149.0,0,0,150,60,839,525
452163.0,0,0,150,60,839,525
452181.0,0,0,150,60,839,525
452198.0,0,0,150,60,839,525
452214.0,0,0,150,60,839,525
452229.0,0,0,150,60,839,525
452246.0,0,0,150,60,839,525
452263.0,0,0,150,60,839,525
452281.0,0,0,150,60,839,525
452297.0,0,0,150,60,839,525
452314.0,0,0,150,60,839,525
452331.0,0,0,150,60,839,525
452347.0,0,0,150,60,839,525
452363.0,0,0,150,60,839,525
452382.0,0,0,150,60,839,525
452396.0,0,0,150,60,839,525
452413.0,0,0,150,60,839,525
452430.0,0,0,150,60,839,525
452448.0,0,0,150,60,839,525
452464.0,0,0,150,60,839,525
452481.0,0,0,150,60,839,525
452497.0,0,0,150,60,839,525
452513.0,0,0,150,60,839,525
452532.0,0,0,150,60,839,525
452547.0,0,0,150,60,839,525
452564.0,0,0,150,60,839,525
452580.0,0,0,150,60,839,525
452598.0,0,0,150,60,839,525
452613.0,0,0,150,60,839,525
452631.0,0,0,150,60,839,525
452647.0,0,0,150,60,839,525
452665.0,0,0,150,60,839,525
452680.0,0,0,150,60,839,525
452698.0,0,0,150,60,839,525
452714.0,0,0,150,60,839,525
452731.0,0,0,150,60,839,525
452748.0,0,0,150,60,839,525
452764.0,0,0,150,60,839,525
452782.0,0,0,150,60,839,525
452796.0,0,0,150,60,839,525
452814.0,0,0,150,60,839,525
452831.0,0,0,150,60,839,525
452848.0,0,0,150,60,839,525
452864.0,0,0,150,60,839,525
452881.0,0,0,150,60,839,525
452898.0,0,0,150,60,839,525
452915.0,0,0,150,60,839,525
452930.0,0,0,150,60,839,525
452947.0,0,0,150,60,839,525
452963.0,0,0,150,60,839,525
452982.0,0,0,150,60,839,525
452996.0,0,0,150,60,839,525
453015.0,0,0,150,60,839,525
453031.0,0,0,150,60,839,525
453047.0,0,0,150,60,839,525
453063.0,0,0,150,60,839,525
453081.0,0,0,150,60,839,525
453098.0,0,0,150,60,839,525
453115.0,0,0,150,60,839,525
453129.0,0,0,150,60,839,525
453147.0,0,0,150,60,839,525
453164.0,0,0,150,60,839,525
453181.0,0,0,150,60,839,525
453197.0,0,0,150,60,839,525
453216.0,0,0,150,60,839,525
453230.0,0,0,150,60,839,525
453246.0,0,0,150,60,839,525
453265.0,0,0,150,60,839,525
453280.0,0,0,150,60,839,525
453296.0,0,0,150,60,839,525
453313.0,0,0,150,60,839,525
453330.0,0,0,150,60,839,525
453348.0,0,0,150,60,839,525
453365.0,0,0,150,60,839,525
453381.0,0,0,150,60,839,525
453399.0,0,0,150,60,839,525
453414.0,0,0,150,60,839,525
453432.0,0,0,150,60,839,525
453447.0,0,0,150,60,839,525
453464.0,0,0,150,60,839,525
453481.0,0,0,150,60,839,525
453499.0,0,0,150,60,839,525
453515.0,0,0,150,60,839,525
453529.0,0,0,150,60,839,525
453548.0,0,0,150,60,839,525
453563.0,0,0,150,60,839,525
