2016,7,11,14,51
timestamp, trialcnt, block, diameter, mousex, mousey
10322.0,0,0,0,60,840,525
10365.0,0,0,150,60,840,525
10386.0,0,0,150,60,840,525
10405.0,0,0,150,60,840,525
10422.0,0,0,150,60,840,525
10437.0,0,0,150,60,840,525
10455.0,0,0,150,60,840,525
10470.0,0,0,150,60,840,525
10488.0,0,0,150,60,840,525
10503.0,0,0,150,60,840,525
10521.0,0,0,150,60,840,525
10536.0,0,0,150,60,840,525
10553.0,0,0,150,60,840,525
10570.0,0,0,150,60,840,525
10587.0,0,0,150,60,840,525
10604.0,0,0,150,60,840,525
10620.0,0,0,150,60,840,524
10638.0,0,0,150,60,840,524
10653.0,0,0,150,60,846,512
10670.0,0,0,150,60,846,512
10687.0,0,0,150,60,850,505
10704.0,0,0,150,60,855,494
10721.0,0,0,150,60,864,465
10737.0,0,0,150,60,865,400
10754.0,0,0,150,60,857,339
10773.0,0,0,150,60,843,318
10790.0,0,0,150,60,840,314
10808.0,0,0,150,60,837,310
10825.0,0,0,150,60,837,310
10842.0,0,0,150,60,837,310
10856.0,0,0,150,60,837,310
10873.0,0,0,150,60,837,310
10918.0,0,0,150,60,837,310
10935.0,0,0,150,60,835,306
10952.0,0,0,150,60,824,284
10970.0,0,0,150,60,819,267
10985.0,0,0,150,60,819,266
11002.0,0,0,150,60,819,267
11020.0,0,0,150,60,819,267
11037.0,0,0,150,60,819,267
11051.0,0,0,150,60,819,267
11068.0,0,0,150,60,819,267
11085.0,0,0,150,60,819,267
11101.0,0,0,150,60,819,267
11120.0,0,0,150,60,819,267
11135.0,0,0,150,60,819,267
11151.0,0,0,150,60,818,267
11169.0,0,0,150,60,817,267
11185.0,0,0,150,60,816,267
11202.0,0,0,150,60,815,267
11220.0,0,0,150,60,814,267
11234.0,0,0,150,60,814,267
11252.0,0,0,150,60,814,268
11269.0,0,0,150,60,816,271
11287.0,0,0,150,60,820,279
11301.0,0,0,150,60,827,287
11318.0,0,0,150,60,829,290
11336.0,0,0,150,60,829,290
11352.0,0,0,150,60,829,290
11370.0,0,0,150,60,829,290
11386.0,0,0,150,60,829,290
11403.0,0,0,150,60,829,289
11435.0,0,0,150,60,828,289
11452.0,0,0,150,60,828,292
11470.0,0,0,150,60,827,311
11484.0,0,0,150,60,828,326
11503.0,0,0,150,60,833,343
11518.0,0,0,150,60,833,343
11535.0,0,0,150,60,846,384
11553.0,0,0,150,60,846,384
11602.0,1,0,150,60,850,392
11622.0,1,0,150,60,840,525
11640.0,1,0,150,60,840,525
11657.0,1,0,150,60,840,525
11674.0,1,0,150,60,839,525
11691.0,1,0,150,60,838,525
11706.0,1,0,150,60,836,525
11723.0,1,0,150,60,836,524
11740.0,1,0,150,60,836,524
11758.0,1,0,150,60,835,524
11772.0,1,0,150,60,835,524
11791.0,1,0,150,60,835,524
11807.0,1,0,150,60,835,524
11823.0,1,0,150,60,835,524
11840.0,1,0,150,60,834,524
11856.0,1,0,150,60,833,522
11874.0,1,0,150,60,833,522
11891.0,1,0,150,60,832,516
11906.0,1,0,150,60,832,515
11923.0,1,0,150,60,832,515
11940.0,1,0,150,60,832,513
11956.0,1,0,150,60,834,511
11974.0,1,0,150,60,834,511
11991.0,1,0,150,60,839,502
12006.0,1,0,150,60,842,496
12025.0,1,0,150,60,842,496
12040.0,1,0,150,60,844,486
12057.0,1,0,150,60,844,486
12074.0,1,0,150,60,845,484
12091.0,1,0,150,60,845,483
12107.0,1,0,150,60,845,483
12122.0,1,0,150,60,845,483
12139.0,1,0,150,60,845,483
12157.0,1,0,150,60,845,483
12173.0,1,0,150,60,845,483
12189.0,1,0,150,60,845,483
12206.0,1,0,150,60,846,483
12222.0,1,0,150,60,846,483
12240.0,1,0,150,60,847,483
12258.0,1,0,150,60,847,482
12272.0,1,0,150,60,847,481
12291.0,1,0,150,60,847,481
12306.0,1,0,150,60,848,480
12322.0,1,0,150,60,848,480
12342.0,1,0,150,60,848,480
12356.0,1,0,150,60,848,479
12372.0,1,0,150,60,848,479
12389.0,1,0,150,60,848,479
12409.0,1,0,150,60,848,479
12424.0,1,0,150,60,848,479
12441.0,1,0,150,60,848,479
12457.0,1,0,150,60,848,479
12474.0,1,0,150,60,848,479
12491.0,1,0,150,60,848,479
12507.0,1,0,150,60,848,479
12523.0,1,0,150,60,848,479
12540.0,1,0,150,60,848,479
12556.0,1,0,150,60,848,479
12574.0,1,0,150,60,848,479
12589.0,1,0,150,60,849,478
12607.0,1,0,150,60,849,478
12624.0,1,0,150,60,849,477
12640.0,1,0,150,60,849,477
12657.0,1,0,150,60,849,477
12673.0,1,0,150,60,849,477
12691.0,1,0,150,60,849,477
12706.0,1,0,150,60,849,477
12723.0,1,0,150,60,849,478
12740.0,1,0,150,60,849,480
12755.0,1,0,150,60,849,480
12772.0,1,0,150,60,849,480
12789.0,1,0,150,60,852,493
12806.0,1,0,150,60,852,493
12822.0,1,0,150,60,855,499
12839.0,1,0,150,60,855,499
12857.0,1,0,150,60,856,501
12873.0,1,0,150,60,857,502
12889.0,1,0,150,60,859,504
12906.0,1,0,150,60,861,506
12923.0,1,0,150,60,861,506
12940.0,1,0,150,60,861,504
12956.0,1,0,150,60,861,504
12974.0,1,0,150,60,861,504
12990.0,1,0,150,60,850,461
13007.0,1,0,150,60,850,461
13023.0,1,0,150,60,837,433
13041.0,1,0,150,60,834,427
13090.0,2,0,150,60,833,422
13106.0,2,0,150,60,833,422
13122.0,2,0,150,60,833,422
13139.0,2,0,150,60,842,521
13157.0,2,0,150,60,844,510
13174.0,2,0,150,60,855,450
13190.0,2,0,150,60,855,450
13206.0,2,0,150,60,870,409
13224.0,2,0,150,60,877,386
13275.0,3,0,150,60,919,290
13290.0,3,0,150,60,840,525
13306.0,3,0,150,60,843,522
13323.0,3,0,150,60,844,521
13339.0,3,0,150,60,845,520
13357.0,3,0,150,60,845,520
13375.0,3,0,150,60,845,520
13391.0,3,0,150,60,845,520
13406.0,3,0,150,60,845,520
13423.0,3,0,150,60,845,520
13442.0,3,0,150,60,845,520
13458.0,3,0,150,60,845,520
13473.0,3,0,150,60,845,520
13489.0,3,0,150,60,845,520
13506.0,3,0,150,60,845,521
13523.0,3,0,150,60,845,521
13539.0,3,0,150,60,845,521
13557.0,3,0,150,60,845,521
13574.0,3,0,150,60,845,520
13590.0,3,0,150,60,845,520
13607.0,3,0,150,60,869,476
13622.0,3,0,150,60,888,432
13639.0,3,0,150,60,906,392
13690.0,4,0,150,60,912,349
13706.0,4,0,150,60,840,524
13723.0,4,0,150,60,840,524
13740.0,4,0,150,60,840,526
13758.0,4,0,150,60,838,532
13773.0,4,0,150,60,837,544
13791.0,4,0,150,60,838,565
13806.0,4,0,150,60,844,594
13824.0,4,0,150,60,844,594
13840.0,4,0,150,60,850,636
13856.0,4,0,150,60,852,650
13909.0,5,0,150,60,853,656
13923.0,5,0,150,60,840,525
13940.0,5,0,150,60,840,525
13956.0,5,0,150,60,840,525
13973.0,5,0,150,60,840,525
13989.0,5,0,150,60,840,525
14008.0,5,0,150,60,840,525
14023.0,5,0,150,60,840,525
14041.0,5,0,150,60,840,525
14058.0,5,0,150,60,840,524
14074.0,5,0,150,60,835,518
14089.0,5,0,150,60,829,509
14106.0,5,0,150,60,823,495
14123.0,5,0,150,60,818,476
14140.0,5,0,150,60,811,449
14158.0,5,0,150,60,808,421
