2016,7,8,11,32
timestamp, trialcnt, block, diameter, mousex, mousey
3599.0,0,0,0,60,0,0
3635.0,0,0,150,60,840,525
3678.0,0,0,150,60,840,525
3695.0,0,0,150,60,840,525
3711.0,0,0,150,60,840,525
3727.0,0,0,150,60,840,525
3745.0,0,0,150,60,840,525
3776.0,0,0,150,60,840,525
3793.0,0,0,150,60,840,525
3812.0,0,0,150,60,840,525
3827.0,0,0,150,60,840,525
3844.0,0,0,150,60,840,525
3859.0,0,0,150,60,840,525
3879.0,0,0,150,60,840,525
3893.0,0,0,150,60,840,525
3910.0,0,0,150,60,840,525
3926.0,0,0,150,60,840,525
3945.0,0,0,150,60,840,525
3960.0,0,0,150,60,840,525
3978.0,0,0,150,60,840,525
3993.0,0,0,150,60,840,525
4012.0,0,0,150,60,840,525
4027.0,0,0,150,60,840,525
4044.0,0,0,150,60,840,525
4061.0,0,0,150,60,840,525
4078.0,0,0,150,60,840,525
4093.0,0,0,150,60,840,525
4112.0,0,0,150,60,840,525
4127.0,0,0,150,60,840,525
4145.0,0,0,150,60,840,525
4161.0,0,0,150,60,840,525
4178.0,0,0,150,60,840,525
4195.0,0,0,150,60,840,525
4211.0,0,0,150,60,840,525
4227.0,0,0,150,60,840,525
4243.0,0,0,150,60,840,525
4260.0,0,0,150,60,840,525
4276.0,0,0,150,60,840,525
4294.0,0,0,150,60,840,525
4311.0,0,0,150,60,840,525
4327.0,0,0,150,60,840,525
4343.0,0,0,150,60,840,525
4360.0,0,0,150,60,840,525
4377.0,0,0,150,60,840,525
4393.0,0,0,150,60,840,525
4410.0,0,0,150,60,840,525
4427.0,0,0,150,60,840,525
4444.0,0,0,150,60,840,525
4459.0,0,0,150,60,840,525
4477.0,0,0,150,60,840,525
4493.0,0,0,150,60,840,525
4510.0,0,0,150,60,840,525
4527.0,0,0,150,60,840,525
4543.0,0,0,150,60,840,525
4561.0,0,0,150,60,840,525
4578.0,0,0,150,60,840,525
4595.0,0,0,150,60,840,525
4610.0,0,0,150,60,840,525
4628.0,0,0,150,60,840,525
4645.0,0,0,150,60,840,525
4659.0,0,0,150,60,840,525
4677.0,0,0,150,60,840,525
4694.0,0,0,150,60,840,525
4712.0,0,0,150,60,840,525
4726.0,0,0,150,60,840,525
4743.0,0,0,150,60,840,525
4761.0,0,0,150,60,840,525
4776.0,0,0,150,60,840,525
4794.0,0,0,150,60,840,525
4810.0,0,0,150,60,840,525
4828.0,0,0,150,60,840,525
4844.0,0,0,150,60,840,525
4860.0,0,0,150,60,840,525
4877.0,0,0,150,60,840,525
4895.0,0,0,150,60,840,525
4911.0,0,0,150,60,840,525
4927.0,0,0,150,60,840,525
4944.0,0,0,150,60,840,525
4961.0,0,0,150,60,840,525
4977.0,0,0,150,60,840,525
4993.0,0,0,150,60,840,525
5010.0,0,0,150,60,840,525
5027.0,0,0,150,60,840,525
5043.0,0,0,150,60,840,525
5060.0,0,0,150,60,840,525
5077.0,0,0,150,60,840,525
5095.0,0,0,150,60,840,525
5111.0,0,0,150,60,840,525
5126.0,0,0,150,60,840,525
5143.0,0,0,150,60,840,525
5161.0,0,0,150,60,840,525
5177.0,0,0,150,60,840,525
5194.0,0,0,150,60,838,523
5217.0,0,0,150,60,838,522
5234.0,0,0,150,60,838,522
5251.0,0,0,150,60,835,516
5267.0,0,0,150,60,834,513
5284.0,0,0,150,60,833,511
5301.0,0,0,150,60,833,505
5318.0,0,0,150,60,833,498
5333.0,0,0,150,60,832,490
5352.0,0,0,150,60,830,480
5369.0,0,0,150,60,830,480
5387.0,0,0,150,60,830,480
5403.0,0,0,150,60,830,454
5419.0,0,0,150,60,830,445
5435.0,0,0,150,60,829,437
5453.0,0,0,150,60,829,429
5470.0,0,0,150,60,828,419
5485.0,0,0,150,60,827,411
5536.0,1,0,150,60,825,397
5552.0,1,0,150,60,840,519
5569.0,1,0,150,60,838,512
5586.0,1,0,150,60,838,510
5603.0,1,0,150,60,838,507
5619.0,1,0,150,60,838,503
5635.0,1,0,150,60,838,498
5652.0,1,0,150,60,838,494
5669.0,1,0,150,60,838,491
5687.0,1,0,150,60,838,488
5703.0,1,0,150,60,838,486
5720.0,1,0,150,60,838,483
5735.0,1,0,150,60,838,481
5754.0,1,0,150,60,838,480
5769.0,1,0,150,60,838,479
5786.0,1,0,150,60,838,479
5803.0,1,0,150,60,838,478
