2016,2,23,16,4
timestamp, trialCnt, blockWidth, diameter, ringdist, guessoutward, guessinward, totalguess, outwarddist, inwarddist, totdist
23685.0,1,20,960.0,150.0,4,3,7,586,549,1136
38493.0,2,20,960.0,150.0,4,3,7,763,1006,1770
56558.0,3,20,960.0,150.0,3,5,8,563,1043,1606
74820.0,4,20,960.0,150.0,3,5,8,606,940,1547
86815.0,5,20,960.0,150.0,3,3,6,685,772,1458
102280.0,6,20,960.0,150.0,4,3,7,721,588,1309
114853.0,7,20,960.0,150.0,3,4,7,500,629,1129
130358.0,8,20,960.0,150.0,4,5,9,655,1342,1998
141749.0,9,20,960.0,150.0,3,3,6,628,613,1241
153020.0,10,20,960.0,150.0,3,3,6,694,740,1435
163829.0,11,20,960.0,150.0,3,3,6,610,480,1090
173286.0,12,20,960.0,150.0,3,3,6,480,503,983
187787.0,13,20,960.0,150.0,3,4,7,635,885,1521
199550.0,14,20,960.0,150.0,3,3,6,501,535,1037
210613.0,15,20,960.0,150.0,3,3,6,491,653,1144
226711.0,16,20,960.0,150.0,4,4,8,615,1823,2438
242216.0,17,20,960.0,150.0,3,6,9,897,1129,2027
253761.0,18,20,960.0,150.0,4,3,7,703,718,1422
268412.0,19,20,960.0,150.0,3,4,7,908,860,1768
283423.0,20,20,960.0,150.0,4,5,9,587,706,1293
293694.0,21,20,780.0,120.0,3,3,6,489,358,847
305254.0,22,20,780.0,120.0,3,4,7,382,2005,2388
316123.0,23,20,780.0,120.0,3,3,6,823,469,1293
327364.0,24,20,780.0,120.0,4,3,7,693,406,1100
340734.0,25,20,780.0,120.0,3,3,6,483,800,1283
352748.0,26,20,780.0,120.0,3,3,6,468,437,905
364044.0,27,20,780.0,120.0,3,3,6,476,403,880
375500.0,28,20,780.0,120.0,3,3,6,532,477,1010
385414.0,29,20,780.0,120.0,3,3,6,797,424,1222
400651.0,30,20,780.0,120.0,3,4,7,814,779,1594
410519.0,31,20,780.0,120.0,3,4,7,625,459,1085
427677.0,32,20,780.0,120.0,6,3,9,1153,737,1891
439904.0,33,20,780.0,120.0,4,3,7,669,419,1088
455492.0,34,20,780.0,120.0,4,5,9,719,713,1432
464323.0,35,20,780.0,120.0,3,3,6,375,480,856
475457.0,36,20,780.0,120.0,3,3,6,489,477,966
487134.0,37,20,780.0,120.0,3,4,7,422,328,750
497687.0,38,20,780.0,120.0,3,3,6,352,384,737
512000.0,39,20,780.0,120.0,4,3,7,644,469,1114
526168.0,40,20,780.0,120.0,3,3,6,482,520,1002
540799.0,41,20,600.0,90.0,3,4,7,617,569,1187
550938.0,42,20,600.0,90.0,3,3,6,243,919,1162
572059.0,43,20,600.0,90.0,5,3,8,941,808,1749
581736.0,44,20,600.0,90.0,3,3,6,276,315,592
592404.0,45,20,600.0,90.0,4,3,7,283,364,648
602135.0,46,20,600.0,90.0,3,3,6,249,393,643
614241.0,47,20,600.0,90.0,3,3,6,761,285,1047
624358.0,48,20,600.0,90.0,3,3,6,252,347,600
635356.0,49,20,600.0,90.0,3,3,6,352,434,786
646827.0,50,20,600.0,90.0,4,4,8,250,368,619
655680.0,51,20,600.0,90.0,3,3,6,249,310,560
674404.0,52,20,600.0,90.0,6,3,9,1540,535,2076
687075.0,53,20,600.0,90.0,3,3,6,316,639,955
703557.0,54,20,600.0,90.0,4,4,8,830,988,1818
713534.0,55,20,600.0,90.0,3,3,6,346,292,639
722795.0,56,20,600.0,90.0,3,4,7,260,283,543
732473.0,57,20,600.0,90.0,3,3,6,287,362,649
745839.0,58,20,600.0,90.0,3,5,8,382,570,952
754030.0,59,20,600.0,90.0,3,3,6,259,303,563
764166.0,60,20,600.0,90.0,3,3,6,323,403,727
