2016,2,13,16,42
timestamp, trialCnt, blockWidth, diameter, ringdist, guessoutward, guessinward, totalguess, outwarddist, inwarddist, totdist
25625.0,1,20,600.0,90.0,4,3,7,370,344,715
53219.0,2,20,600.0,90.0,11,9,20,558,359,917
68514.0,3,20,600.0,90.0,17,12,29,239,465,704
80762.0,4,20,600.0,90.0,20,15,35,262,345,608
93221.0,5,20,600.0,90.0,24,18,42,396,267,664
110288.0,6,20,600.0,90.0,28,21,49,378,838,1217
126809.0,7,20,600.0,90.0,34,24,58,709,304,1013
139278.0,8,20,600.0,90.0,37,27,64,247,444,691
155176.0,9,20,600.0,90.0,40,31,71,259,526,785
173500.0,10,20,600.0,90.0,46,34,80,465,321,786
183138.0,11,20,600.0,90.0,49,37,86,290,252,542
194396.0,12,20,600.0,90.0,54,40,94,418,260,679
206080.0,13,20,600.0,90.0,59,43,102,363,301,664
218102.0,14,20,600.0,90.0,63,46,109,381,418,800
238876.0,15,20,600.0,90.0,68,50,118,270,855,1126
251809.0,16,20,600.0,90.0,71,53,124,268,356,625
264253.0,17,20,600.0,90.0,75,56,131,351,319,670
277938.0,18,20,600.0,90.0,80,60,140,526,420,947
291721.0,19,20,600.0,90.0,83,63,146,438,304,742
303907.0,20,20,600.0,90.0,86,66,152,247,254,501
318659.0,21,20,420.0,60.0,90,69,159,419,339,759
332586.0,22,20,420.0,60.0,93,72,165,288,229,518
343404.0,23,20,420.0,60.0,96,75,171,168,162,331
355385.0,24,20,420.0,60.0,99,79,178,174,242,417
379124.0,25,20,420.0,60.0,105,87,192,503,538,1041
388106.0,26,20,420.0,60.0,108,90,198,171,217,388
396558.0,27,20,420.0,60.0,111,93,204,173,179,352
405983.0,28,20,420.0,60.0,115,96,211,175,166,341
414036.0,29,20,420.0,60.0,118,99,217,177,157,334
423686.0,30,20,420.0,60.0,121,102,223,169,187,357
432173.0,31,20,420.0,60.0,125,105,230,157,160,317
440545.0,32,20,420.0,60.0,128,108,236,207,236,443
449655.0,33,20,420.0,60.0,131,111,242,181,154,336
466028.0,34,20,420.0,60.0,135,114,249,364,431,795
479644.0,35,20,420.0,60.0,139,117,256,396,243,640
494969.0,36,20,420.0,60.0,145,120,265,503,209,713
507152.0,37,20,420.0,60.0,148,124,272,175,448,623
519776.0,38,20,420.0,60.0,151,128,279,189,494,684
527877.0,39,20,420.0,60.0,154,131,285,182,176,359
536493.0,40,20,420.0,60.0,157,134,291,187,190,377
551662.0,41,20,780.0,120.0,162,139,301,491,709,1201
561999.0,42,20,780.0,120.0,166,142,308,430,371,801
573583.0,43,20,780.0,120.0,169,148,317,372,458,830
584599.0,44,20,780.0,120.0,172,151,323,397,372,770
596408.0,45,20,780.0,120.0,176,154,330,430,373,804
611751.0,46,20,780.0,120.0,181,157,338,692,332,1025
622998.0,47,20,780.0,120.0,184,160,344,340,572,913
635388.0,48,20,780.0,120.0,187,163,350,377,710,1088
646348.0,49,20,780.0,120.0,190,166,356,339,364,704
658546.0,50,20,780.0,120.0,193,169,362,385,352,737
670638.0,51,20,780.0,120.0,197,172,369,455,463,918
680557.0,52,20,780.0,120.0,201,175,376,405,485,891
688577.0,53,20,780.0,120.0,204,178,382,406,383,790
700687.0,54,20,780.0,120.0,208,182,390,519,466,985
710708.0,55,20,780.0,120.0,211,185,396,423,502,925
719805.0,56,20,780.0,120.0,214,188,402,487,387,874
729970.0,57,20,780.0,120.0,217,191,408,362,396,759
742205.0,58,20,780.0,120.0,220,194,414,391,520,911
755974.0,59,20,780.0,120.0,224,198,422,502,573,1075
769580.0,60,20,780.0,120.0,228,201,429,458,586,1045
