2015,11,21,12,30
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
10534.0,1,25,1,0.1,0,2,914,346,1261,395,865,31
11605.0,2,25,1,0.1,1,2,243,675,919,395,523,74
12988.0,3,25,1,0.1,1,2,267,1085,1353,395,957,103
14126.0,4,25,1,0.1,1,2,231,1345,1577,395,1181,128
15145.0,5,25,1,0.1,1,2,237,1733,1971,395,1575,148
16189.0,6,25,1,0.1,1,2,233,2239,2472,395,2076,164
17445.0,7,25,1,0.1,1,2,638,2573,3212,395,2816,177
18628.0,8,25,1,0.1,1,2,261,3079,3341,395,2945,188
19666.0,9,25,1,0.1,1,2,224,3598,3822,395,3426,199
20488.0,10,25,1,0.1,1,2,261,3962,4224,395,3828,208
22575.0,11,25,1,0.1,0,1,1070,4404,5475,724,4751,221
23813.0,12,25,1,0.1,1,2,235,4966,5202,395,4806,229
24732.0,13,25,1,0.1,1,2,252,5361,5613,395,5217,236
25718.0,14,25,1,0.1,1,2,224,5929,6154,395,5758,243
27359.0,15,25,1,0.1,1,2,233,6559,6792,395,6397,248
28540.0,16,25,1,0.1,1,2,224,7095,7319,395,6923,254
29603.0,17,25,1,0.1,1,2,302,7587,7889,395,7494,259
30582.0,18,25,1,0.1,1,2,230,8133,8364,395,7968,263
31661.0,19,25,1,0.1,1,2,237,8512,8750,395,8354,268
32641.0,20,25,1,0.1,1,2,246,9043,9290,395,8894,272
33563.0,21,25,1,0.1,1,2,252,9480,9733,395,9337,276
34483.0,22,25,1,0.1,1,2,312,9921,10234,395,9838,280
35502.0,23,25,1,0.1,1,2,253,10337,10591,395,10195,284
36561.0,24,25,1,0.1,1,2,237,10744,10982,395,10586,288
37663.0,25,25,1,0.1,1,2,242,11056,11298,395,10903,291
39743.0,26,25,1,0.25,0,1,1101,11525,12626,724,11902,297
41446.0,27,25,1,0.25,0,2,1226,11881,13108,395,12712,300
42148.0,28,25,1,0.25,1,2,260,12165,12425,395,12029,303
42949.0,29,25,1,0.25,1,2,305,12564,12870,395,12474,306
45706.0,30,25,1,0.25,0,1,1551,13213,14764,724,14040,311
46846.0,31,25,1,0.25,1,2,289,13619,13909,395,13513,314
47607.0,32,25,1,0.25,1,2,241,14015,14257,395,13861,317
48587.0,33,25,1,0.25,1,2,222,14394,14617,395,14221,319
