2015,11,23,17,40
timestamp, trialNum, blockWidth, position_number, LeftTriggerProbability, rightORwrong, Rewardposition, forageDistance, collectionDistance, totalDistance, optimalTotalDistance, Totaldifference, score
11858.0,1,25,2,0.5,0,2,1026,575,1601,724,876,45
13820.0,2,25,2,0.5,0,1,1258,840,2099,395,1704,64
15058.0,3,25,2,0.5,1,1,254,1318,1572,395,1176,89
16258.0,4,25,2,0.5,1,1,228,1711,1939,395,1543,109
17578.0,5,25,2,0.5,1,1,254,2300,2554,395,2159,125
18379.0,6,25,2,0.5,1,1,263,2672,2936,395,2540,138
20589.0,7,25,2,0.5,0,2,1233,3239,4473,724,3748,154
22032.0,8,25,2,0.5,1,1,248,3687,3936,395,3540,164
24450.0,9,25,2,0.5,0,2,980,4550,5530,724,4806,177
26230.0,10,25,2,0.5,0,2,754,5139,5894,724,5169,190
28849.0,11,25,2,0.5,1,2,438,5667,6106,724,5381,202
30051.0,12,25,2,0.5,1,1,294,6264,6558,395,6163,208
40551.0,13,25,2,0.5,1,1,472,7108,7580,395,7185,213
41870.0,14,25,2,0.5,1,2,438,8043,8481,724,7757,221
44052.0,15,25,2,0.5,1,2,404,8694,9099,724,8374,229
45513.0,16,25,2,0.5,1,1,269,9451,9720,395,9325,233
46573.0,17,25,2,0.5,1,1,296,10017,10313,395,9918,237
47671.0,18,25,2,0.5,1,1,302,10713,11016,395,10620,241
48631.0,19,25,2,0.5,1,1,287,11240,11527,395,11131,244
51652.0,20,25,2,0.5,0,2,1489,11819,13308,724,12584,250
53671.0,21,25,2,0.5,0,1,1224,12159,13384,395,12988,253
56292.0,22,25,2,0.5,0,2,1470,12658,14128,724,13404,258
57691.0,23,25,2,0.5,1,2,471,13393,13864,724,13140,263
61493.0,24,25,2,0.5,1,2,402,14335,14737,724,14013,268
64052.0,25,25,2,0.5,0,1,1421,15259,16681,395,16286,270
65213.0,26,25,2,0.75,1,1,235,15934,16170,395,15774,273
67573.0,27,25,2,0.75,0,2,824,16764,17589,724,16865,277
70792.0,28,25,2,0.75,0,1,1361,17452,18813,395,18417,279
71953.0,29,25,2,0.75,1,1,290,17863,18153,395,17758,281
73076.0,30,25,2,0.75,1,1,285,18314,18599,395,18203,283
74433.0,31,25,2,0.75,1,1,273,18766,19040,395,18644,285
77055.0,32,25,2,0.75,0,2,1385,19523,20909,724,20184,289
79136.0,33,25,2,0.75,0,1,1411,19935,21347,395,20951,291
80434.0,34,25,2,0.75,1,1,309,20381,20690,395,20295,293
81535.0,35,25,2,0.75,1,1,270,20981,21251,395,20856,294
84134.0,36,25,2,0.75,0,2,1640,21543,23184,724,22459,298
85734.0,37,25,2,0.75,1,2,391,22323,22715,724,21990,301
